#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
575200	1963-11-01 00:00:00	1963	1964	11	31	31	31
575200	1963-11-02 00:00:00	1963	1964	11	30	30	30
575200	1963-11-03 00:00:00	1963	1964	11	31	31	31
575200	1963-11-04 00:00:00	1963	1964	11	32	32	32
575200	1963-11-05 00:00:00	1963	1964	11	32	32	32
575200	1963-11-06 00:00:00	1963	1964	11	33	33	33
575200	1963-11-07 00:00:00	1963	1964	11	33	33	33
575200	1963-11-08 00:00:00	1963	1964	11	32	32	32
575200	1963-11-09 00:00:00	1963	1964	11	34	34	34
575200	1963-11-10 00:00:00	1963	1964	11	32	32	32
575200	1963-11-11 00:00:00	1963	1964	11	35	35	35
575200	1963-11-12 00:00:00	1963	1964	11	42	42	42
575200	1963-11-13 00:00:00	1963	1964	11	35	35	35
575200	1963-11-14 00:00:00	1963	1964	11	36	36	36
575200	1963-11-15 00:00:00	1963	1964	11	36	36	36
575200	1963-11-16 00:00:00	1963	1964	11	39	39	39
575200	1963-11-17 00:00:00	1963	1964	11	35	35	35
575200	1963-11-18 00:00:00	1963	1964	11	35	35	35
575200	1963-11-19 00:00:00	1963	1964	11	35	35	35
575200	1963-11-20 00:00:00	1963	1964	11	42	42	42
575200	1963-11-21 00:00:00	1963	1964	11	36	36	36
575200	1963-11-22 00:00:00	1963	1964	11	36	36	36
575200	1963-11-23 00:00:00	1963	1964	11	37	37	37
575200	1963-11-24 00:00:00	1963	1964	11	38	38	38
575200	1963-11-25 00:00:00	1963	1964	11	37	37	37
575200	1963-11-26 00:00:00	1963	1964	11	37	37	37
575200	1963-11-27 00:00:00	1963	1964	11	37	37	37
575200	1963-11-28 00:00:00	1963	1964	11	35	35	35
575200	1963-11-29 00:00:00	1963	1964	11	35	35	35
575200	1963-11-30 00:00:00	1963	1964	11	35	35	35
575200	1963-12-01 00:00:00	1963	1964	12	34	34	34
575200	1963-12-02 00:00:00	1963	1964	12	35	35	35
575200	1963-12-03 00:00:00	1963	1964	12	36	36	36
575200	1963-12-04 00:00:00	1963	1964	12	35	35	35
575200	1963-12-05 00:00:00	1963	1964	12	34	34	34
575200	1963-12-06 00:00:00	1963	1964	12	35	35	35
575200	1963-12-07 00:00:00	1963	1964	12	34	34	34
575200	1963-12-08 00:00:00	1963	1964	12	33	33	33
575200	1963-12-09 00:00:00	1963	1964	12	33	33	33
575200	1963-12-10 00:00:00	1963	1964	12	32	32	32
575200	1963-12-11 00:00:00	1963	1964	12	32	32	32
575200	1963-12-12 00:00:00	1963	1964	12	32	32	32
575200	1963-12-13 00:00:00	1963	1964	12	35	35	35
575200	1963-12-14 00:00:00	1963	1964	12	33	33	33
575200	1963-12-15 00:00:00	1963	1964	12	32	32	32
575200	1963-12-16 00:00:00	1963	1964	12	32	32	32
575200	1963-12-17 00:00:00	1963	1964	12	34	34	34
575200	1963-12-18 00:00:00	1963	1964	12	33	33	33
575200	1963-12-19 00:00:00	1963	1964	12	32	32	32
575200	1963-12-20 00:00:00	1963	1964	12	32	32	32
575200	1963-12-21 00:00:00	1963	1964	12	32	32	32
575200	1963-12-22 00:00:00	1963	1964	12	31	31	31
575200	1963-12-23 00:00:00	1963	1964	12	31	31	31
575200	1963-12-24 00:00:00	1963	1964	12	31	31	31
575200	1963-12-25 00:00:00	1963	1964	12	30	30	30
575200	1963-12-26 00:00:00	1963	1964	12	30	30	30
575200	1963-12-27 00:00:00	1963	1964	12	34	34	34
575200	1963-12-28 00:00:00	1963	1964	12	33	33	33
575200	1963-12-29 00:00:00	1963	1964	12	32	32	32
575200	1963-12-30 00:00:00	1963	1964	12	33	33	33
575200	1963-12-31 00:00:00	1963	1964	12	31	31	31
575200	1964-01-01 00:00:00	1964	1964	1	31	31	31
575200	1964-01-02 00:00:00	1964	1964	1	32	32	32
575200	1964-01-03 00:00:00	1964	1964	1	32	32	32
575200	1964-01-04 00:00:00	1964	1964	1	34	34	34
575200	1964-01-05 00:00:00	1964	1964	1	32	32	32
575200	1964-01-06 00:00:00	1964	1964	1	32	32	32
575200	1964-01-07 00:00:00	1964	1964	1	30	30	30
575200	1964-01-08 00:00:00	1964	1964	1	31	31	31
575200	1964-01-09 00:00:00	1964	1964	1	33	33	33
575200	1964-01-10 00:00:00	1964	1964	1	32	32	32
575200	1964-01-11 00:00:00	1964	1964	1	33	33	33
575200	1964-01-12 00:00:00	1964	1964	1	32	32	32
575200	1964-01-13 00:00:00	1964	1964	1	31	31	31
575200	1964-01-14 00:00:00	1964	1964	1	32	32	32
575200	1964-01-15 00:00:00	1964	1964	1	29	29	29
575200	1964-01-16 00:00:00	1964	1964	1	29	29	29
575200	1964-01-17 00:00:00	1964	1964	1	31	31	31
575200	1964-01-18 00:00:00	1964	1964	1	29	29	29
575200	1964-01-19 00:00:00	1964	1964	1	29	29	29
575200	1964-01-20 00:00:00	1964	1964	1	30	30	30
575200	1964-01-21 00:00:00	1964	1964	1	30	30	30
575200	1964-01-22 00:00:00	1964	1964	1	30	30	30
575200	1964-01-23 00:00:00	1964	1964	1	31	31	31
575200	1964-01-24 00:00:00	1964	1964	1	31	31	31
575200	1964-01-25 00:00:00	1964	1964	1	31	31	31
575200	1964-01-26 00:00:00	1964	1964	1	33	33	33
575200	1964-01-27 00:00:00	1964	1964	1	37	37	37
575200	1964-01-28 00:00:00	1964	1964	1	35	35	35
575200	1964-01-29 00:00:00	1964	1964	1	32	32	32
575200	1964-01-30 00:00:00	1964	1964	1	32	32	32
575200	1964-01-31 00:00:00	1964	1964	1	32	32	32
575200	1964-02-01 00:00:00	1964	1964	2	55	55	55
575200	1964-02-02 00:00:00	1964	1964	2	41	41	41
575200	1964-02-03 00:00:00	1964	1964	2	46	46	46
575200	1964-02-04 00:00:00	1964	1964	2	44	44	44
575200	1964-02-05 00:00:00	1964	1964	2	38	38	38
575200	1964-02-06 00:00:00	1964	1964	2	35	35	35
575200	1964-02-07 00:00:00	1964	1964	2	36	36	36
575200	1964-02-08 00:00:00	1964	1964	2	37	37	37
575200	1964-02-09 00:00:00	1964	1964	2	61	61	61
575200	1964-02-10 00:00:00	1964	1964	2	42	42	42
575200	1964-02-11 00:00:00	1964	1964	2	51	51	51
575200	1964-02-12 00:00:00	1964	1964	2	42	42	42
575200	1964-02-13 00:00:00	1964	1964	2	42	42	42
575200	1964-02-14 00:00:00	1964	1964	2	35	35	35
575200	1964-02-15 00:00:00	1964	1964	2	40	40	40
575200	1964-02-16 00:00:00	1964	1964	2	38	38	38
575200	1964-02-17 00:00:00	1964	1964	2	38	38	38
575200	1964-02-18 00:00:00	1964	1964	2	38	38	38
575200	1964-02-19 00:00:00	1964	1964	2	38	38	38
575200	1964-02-20 00:00:00	1964	1964	2	38	38	38
575200	1964-02-21 00:00:00	1964	1964	2	36	36	36
575200	1964-02-22 00:00:00	1964	1964	2	35	35	35
575200	1964-02-23 00:00:00	1964	1964	2	38	38	38
575200	1964-02-24 00:00:00	1964	1964	2	38	38	38
575200	1964-02-25 00:00:00	1964	1964	2	38	38	38
575200	1964-02-26 00:00:00	1964	1964	2	40	40	40
575200	1964-02-27 00:00:00	1964	1964	2	39	39	39
575200	1964-02-28 00:00:00	1964	1964	2	53	53	53
575200	1964-02-29 00:00:00	1964	1964	2	43	43	43
575200	1964-03-01 00:00:00	1964	1964	3	41	41	41
575200	1964-03-02 00:00:00	1964	1964	3	40	40	40
575200	1964-03-03 00:00:00	1964	1964	3	39	39	39
575200	1964-03-04 00:00:00	1964	1964	3	38	38	38
575200	1964-03-05 00:00:00	1964	1964	3	38	38	38
575200	1964-03-06 00:00:00	1964	1964	3	38	38	38
575200	1964-03-07 00:00:00	1964	1964	3	36	36	36
575200	1964-03-08 00:00:00	1964	1964	3	36	36	36
575200	1964-03-09 00:00:00	1964	1964	3	36	36	36
575200	1964-03-10 00:00:00	1964	1964	3	36	36	36
575200	1964-03-11 00:00:00	1964	1964	3	39	39	39
575200	1964-03-12 00:00:00	1964	1964	3	38	38	38
575200	1964-03-13 00:00:00	1964	1964	3	36	36	36
575200	1964-03-14 00:00:00	1964	1964	3	35	35	35
575200	1964-03-15 00:00:00	1964	1964	3	35	35	35
575200	1964-03-16 00:00:00	1964	1964	3	33	33	33
575200	1964-03-17 00:00:00	1964	1964	3	36	36	36
575200	1964-03-18 00:00:00	1964	1964	3	35	35	35
575200	1964-03-19 00:00:00	1964	1964	3	35	35	35
575200	1964-03-20 00:00:00	1964	1964	3	38	38	38
575200	1964-03-21 00:00:00	1964	1964	3	41	41	41
575200	1964-03-22 00:00:00	1964	1964	3	38	38	38
575200	1964-03-23 00:00:00	1964	1964	3	38	38	38
575200	1964-03-24 00:00:00	1964	1964	3	41	41	41
575200	1964-03-25 00:00:00	1964	1964	3	41	41	41
575200	1964-03-26 00:00:00	1964	1964	3	40	40	40
575200	1964-03-27 00:00:00	1964	1964	3	40	40	40
575200	1964-03-28 00:00:00	1964	1964	3	39	39	39
575200	1964-03-29 00:00:00	1964	1964	3	40	40	40
575200	1964-03-30 00:00:00	1964	1964	3	41	41	41
575200	1964-03-31 00:00:00	1964	1964	3	40	40	40
575200	1964-04-01 00:00:00	1964	1964	4	42	42	42
575200	1964-04-02 00:00:00	1964	1964	4	42	42	42
575200	1964-04-03 00:00:00	1964	1964	4	42	42	42
575200	1964-04-04 00:00:00	1964	1964	4	41	41	41
575200	1964-04-05 00:00:00	1964	1964	4	41	41	41
575200	1964-04-06 00:00:00	1964	1964	4	41	41	41
575200	1964-04-07 00:00:00	1964	1964	4	40	40	40
575200	1964-04-08 00:00:00	1964	1964	4	39	39	39
575200	1964-04-09 00:00:00	1964	1964	4	39	39	39
