#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
570280	1965-11-01 00:00:00	1965	1966	11	17.3	17.3	17.3
570280	1965-11-02 00:00:00	1965	1966	11	18.6	18.6	18.6
570280	1965-11-03 00:00:00	1965	1966	11	19.9	19.9	19.9
570280	1965-11-04 00:00:00	1965	1966	11	21.2	21.2	21.2
570280	1965-11-05 00:00:00	1965	1966	11	20.5	20.5	20.5
570280	1965-11-06 00:00:00	1965	1966	11	21.2	21.2	21.2
570280	1965-11-07 00:00:00	1965	1966	11	18	18	18
570280	1965-11-08 00:00:00	1965	1966	11	16	16	16
570280	1965-11-09 00:00:00	1965	1966	11	18.6	18.6	18.6
570280	1965-11-10 00:00:00	1965	1966	11	20.5	20.5	20.5
570280	1965-11-11 00:00:00	1965	1966	11	24.4	24.4	24.4
570280	1965-11-12 00:00:00	1965	1966	11	26.9	26.9	26.9
570280	1965-11-13 00:00:00	1965	1966	11	18.6	18.6	18.6
570280	1965-11-14 00:00:00	1965	1966	11	17.3	17.3	17.3
570280	1965-11-15 00:00:00	1965	1966	11	16	16	16
570280	1965-11-16 00:00:00	1965	1966	11	14.8	14.8	14.8
570280	1965-11-17 00:00:00	1965	1966	11	13.6	13.6	13.6
570280	1965-11-18 00:00:00	1965	1966	11	13	13	13
570280	1965-11-19 00:00:00	1965	1966	11	18.6	18.6	18.6
570280	1965-11-20 00:00:00	1965	1966	11	17.3	17.3	17.3
570280	1965-11-21 00:00:00	1965	1966	11	23.1	23.1	23.1
570280	1965-11-22 00:00:00	1965	1966	11	40.4	40.4	40.4
570280	1965-11-23 00:00:00	1965	1966	11	38.4	38.4	46.1
570280	1965-11-24 00:00:00	1965	1966	11	34	34	34
570280	1965-11-25 00:00:00	1965	1966	11	30.1	30.1	30.1
570280	1965-11-26 00:00:00	1965	1966	11	28.8	28.8	28.8
570280	1965-11-27 00:00:00	1965	1966	11	28.8	28.8	28.8
570280	1965-11-28 00:00:00	1965	1966	11	32.7	32.7	32.7
570280	1965-11-29 00:00:00	1965	1966	11	28.2	28.2	28.2
570280	1965-11-30 00:00:00	1965	1966	11	34	34	34
570280	1965-12-01 00:00:00	1965	1966	12	38.4	38.4	38.4
570280	1965-12-02 00:00:00	1965	1966	12	36.5	36.5	36.5
570280	1965-12-03 00:00:00	1965	1966	12	34	34	34
570280	1965-12-04 00:00:00	1965	1966	12	35.2	35.2	35.2
570280	1965-12-05 00:00:00	1965	1966	12	35.2	35.2	35.2
570280	1965-12-06 00:00:00	1965	1966	12	93.7	93.7	93.7
570280	1965-12-07 00:00:00	1965	1966	12	114	114	114
570280	1965-12-08 00:00:00	1965	1966	12	86.3	86.3	86.3
570280	1965-12-09 00:00:00	1965	1966	12	65.7	65.7	65.7
570280	1965-12-10 00:00:00	1965	1966	12	68.2	68.2	68.2
570280	1965-12-11 00:00:00	1965	1966	12	79.4	79.4	79.4
570280	1965-12-12 00:00:00	1965	1966	12	84.9	84.9	84.9
570280	1965-12-13 00:00:00	1965	1966	12	82.1	82.1	82.1
570280	1965-12-14 00:00:00	1965	1966	12	93.7	93.7	93.7
570280	1965-12-15 00:00:00	1965	1966	12	95.1	95.1	95.1
570280	1965-12-16 00:00:00	1965	1966	12	92.4	92.4	92.4
570280	1965-12-17 00:00:00	1965	1966	12	88.8	88.8	88.8
570280	1965-12-18 00:00:00	1965	1966	12	98.9	98.9	98.9
570280	1965-12-19 00:00:00	1965	1966	12	134	134	134
570280	1965-12-20 00:00:00	1965	1966	12	142	142	142
570280	1965-12-21 00:00:00	1965	1966	12	142	142	146
570280	1965-12-22 00:00:00	1965	1966	12	136	136	136
570280	1965-12-23 00:00:00	1965	1966	12	134	134	134
570280	1965-12-24 00:00:00	1965	1966	12	134	134	134
570280	1965-12-25 00:00:00	1965	1966	12	134	134	134
570280	1965-12-26 00:00:00	1965	1966	12	140	140	140
570280	1965-12-27 00:00:00	1965	1966	12	138	138	138
570280	1965-12-28 00:00:00	1965	1966	12	138	138	138
570280	1965-12-29 00:00:00	1965	1966	12	131	131	131
570280	1965-12-30 00:00:00	1965	1966	12	132	132	132
570280	1965-12-31 00:00:00	1965	1966	12	132	132	132
570280	1966-01-01 00:00:00	1966	1966	1	127	127	127
570280	1966-01-02 00:00:00	1966	1966	1	131	131	131
570280	1966-01-03 00:00:00	1966	1966	1	147	147	154
570280	1966-01-04 00:00:00	1966	1966	1	138	138	138
570280	1966-01-05 00:00:00	1966	1966	1	128	128	128
570280	1966-01-06 00:00:00	1966	1966	1	129	129	129
570280	1966-01-07 00:00:00	1966	1966	1	130	130	130
570280	1966-01-08 00:00:00	1966	1966	1	128	128	128
570280	1966-01-09 00:00:00	1966	1966	1	107	107	107
570280	1966-01-10 00:00:00	1966	1966	1	87.6	87.6	87.6
570280	1966-01-11 00:00:00	1966	1966	1	83.5	83.5	83.5
570280	1966-01-12 00:00:00	1966	1966	1	79.4	79.4	79.4
570280	1966-01-13 00:00:00	1966	1966	1	74.2	74.2	74.2
570280	1966-01-14 00:00:00	1966	1966	1	72.7	72.7	72.7
570280	1966-01-15 00:00:00	1966	1966	1	72.7	72.7	72.7
570280	1966-01-16 00:00:00	1966	1966	1	68.2	68.2	68.2
570280	1966-01-17 00:00:00	1966	1966	1	67	67	67
570280	1966-01-18 00:00:00	1966	1966	1	60.6	60.6	60.6
570280	1966-01-19 00:00:00	1966	1966	1	59.4	59.4	59.4
570280	1966-01-20 00:00:00	1966	1966	1	55.1	55.1	55.1
570280	1966-01-21 00:00:00	1966	1966	1	52.5	52.5	52.5
570280	1966-01-22 00:00:00	1966	1966	1	50.6	50.6	50.6
570280	1966-01-23 00:00:00	1966	1966	1	50.6	50.6	50.6
570280	1966-01-24 00:00:00	1966	1966	1	48	48	48
570280	1966-01-25 00:00:00	1966	1966	1	46.8	46.8	46.8
570280	1966-01-26 00:00:00	1966	1966	1	45.5	45.5	45.5
570280	1966-01-27 00:00:00	1966	1966	1	44.2	44.2	44.2
570280	1966-01-28 00:00:00	1966	1966	1	44.2	44.2	44.2
570280	1966-01-29 00:00:00	1966	1966	1	48	48	48
570280	1966-01-30 00:00:00	1966	1966	1	46.8	46.8	46.8
570280	1966-01-31 00:00:00	1966	1966	1	40.4	40.4	40.4
570280	1966-02-01 00:00:00	1966	1966	2	41.6	41.6	41.6
570280	1966-02-02 00:00:00	1966	1966	2	41.6	41.6	41.6
570280	1966-02-03 00:00:00	1966	1966	2	41.6	41.6	41.6
570280	1966-02-04 00:00:00	1966	1966	2	39.1	39.1	39.1
570280	1966-02-05 00:00:00	1966	1966	2	35.2	35.2	35.2
570280	1966-02-06 00:00:00	1966	1966	2	34	34	34
570280	1966-02-07 00:00:00	1966	1966	2	37.8	37.8	37.8
570280	1966-02-08 00:00:00	1966	1966	2	45.5	45.5	45.5
570280	1966-02-09 00:00:00	1966	1966	2	69.4	69.4	69.4
570280	1966-02-10 00:00:00	1966	1966	2	75.6	75.6	75.6
570280	1966-02-11 00:00:00	1966	1966	2	78.2	78.2	80.7
570280	1966-02-12 00:00:00	1966	1966	2	75.6	75.6	75.6
570280	1966-02-13 00:00:00	1966	1966	2	77	77	77
570280	1966-02-14 00:00:00	1966	1966	2	74.2	74.2	74.2
570280	1966-02-15 00:00:00	1966	1966	2	68.2	68.2	68.2
570280	1966-02-16 00:00:00	1966	1966	2	64.5	64.5	64.5
570280	1966-02-17 00:00:00	1966	1966	2	65.7	65.7	65.7
570280	1966-02-18 00:00:00	1966	1966	2	60.6	60.6	60.6
570280	1966-02-19 00:00:00	1966	1966	2	67	67	67
570280	1966-02-20 00:00:00	1966	1966	2	70.2	70.2	70.2
570280	1966-02-21 00:00:00	1966	1966	2	68.2	68.2	68.2
570280	1966-02-22 00:00:00	1966	1966	2	68.2	68.2	68.2
570280	1966-02-23 00:00:00	1966	1966	2	65.7	65.7	65.7
570280	1966-02-24 00:00:00	1966	1966	2	56.3	56.3	56.3
570280	1966-02-25 00:00:00	1966	1966	2	57	57	57
570280	1966-02-26 00:00:00	1966	1966	2	54.4	54.4	54.4
570280	1966-02-27 00:00:00	1966	1966	2	54.4	54.4	54.4
570280	1966-02-28 00:00:00	1966	1966	2	53.8	53.8	53.8
