#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
572010	1922-11-01 00:00:00	1922	1923	11	3.5	3.5	3.5
572010	1922-11-02 00:00:00	1922	1923	11	3.82	3.82	3.82
572010	1922-11-03 00:00:00	1922	1923	11	3.99	3.99	3.99
572010	1922-11-04 00:00:00	1922	1923	11	4.34	4.34	4.34
572010	1922-11-05 00:00:00	1922	1923	11	4.52	4.52	4.52
572010	1922-11-06 00:00:00	1922	1923	11	4.88	4.88	4.88
572010	1922-11-07 00:00:00	1922	1923	11	5.06	5.06	5.06
572010	1922-11-08 00:00:00	1922	1923	11	5.95	5.95	5.95
572010	1922-11-09 00:00:00	1922	1923	11	6.95	6.95	6.95
572010	1922-11-10 00:00:00	1922	1923	11	8.18	8.18	8.18
572010	1922-11-11 00:00:00	1922	1923	11	9.02	9.02	9.02
572010	1922-11-12 00:00:00	1922	1923	11	8.81	8.81	8.81
572010	1922-11-13 00:00:00	1922	1923	11	8.6	8.6	8.6
572010	1922-11-14 00:00:00	1922	1923	11	8.18	8.18	8.18
572010	1922-11-15 00:00:00	1922	1923	11	7.97	7.97	7.97
572010	1922-11-16 00:00:00	1922	1923	11	7.35	7.35	7.35
572010	1922-11-17 00:00:00	1922	1923	11	6.95	6.95	6.95
572010	1922-11-18 00:00:00	1922	1923	11	6.75	6.75	6.75
572010	1922-11-19 00:00:00	1922	1923	11	6.95	6.95	6.95
572010	1922-11-20 00:00:00	1922	1923	11	6.55	6.55	6.55
572010	1922-11-21 00:00:00	1922	1923	11	6.15	6.15	6.15
572010	1922-11-22 00:00:00	1922	1923	11	5.95	5.95	5.95
572010	1922-11-23 00:00:00	1922	1923	11	5.58	5.58	5.58
572010	1922-11-24 00:00:00	1922	1923	11	5.06	5.06	5.06
572010	1922-11-25 00:00:00	1922	1923	11	5.76	5.76	5.76
572010	1922-11-26 00:00:00	1922	1923	11	6.35	6.35	6.35
572010	1922-11-27 00:00:00	1922	1923	11	7.15	7.15	7.15
572010	1922-11-28 00:00:00	1922	1923	11	7.56	7.56	7.56
572010	1922-11-29 00:00:00	1922	1923	11	7.97	7.97	7.97
572010	1922-11-30 00:00:00	1922	1923	11	9.02	9.02	9.02
572010	1922-12-01 00:00:00	1922	1923	12	10.3	10.3	10.3
572010	1922-12-02 00:00:00	1922	1923	12	11.3	11.3	11.3
572010	1922-12-03 00:00:00	1922	1923	12	13.4	13.4	13.4
572010	1922-12-04 00:00:00	1922	1923	12	14.9	14.9	14.9
572010	1922-12-05 00:00:00	1922	1923	12	15.9	15.9	15.9
572010	1922-12-06 00:00:00	1922	1923	12	17.7	17.7	17.7
572010	1922-12-07 00:00:00	1922	1923	12	16.4	16.4	16.4
572010	1922-12-08 00:00:00	1922	1923	12	15.2	15.2	15.2
572010	1922-12-09 00:00:00	1922	1923	12	13.6	13.6	13.6
572010	1922-12-10 00:00:00	1922	1923	12	11.6	11.6	11.6
572010	1922-12-11 00:00:00	1922	1923	12	9.87	9.87	9.87
572010	1922-12-12 00:00:00	1922	1923	12	8.6	8.6	8.6
572010	1922-12-13 00:00:00	1922	1923	12	6.95	6.95	6.95
572010	1922-12-14 00:00:00	1922	1923	12	6.15	6.15	6.15
572010	1922-12-15 00:00:00	1922	1923	12	5.06	5.06	5.06
572010	1922-12-16 00:00:00	1922	1923	12	6.55	6.55	6.55
572010	1922-12-17 00:00:00	1922	1923	12	7.35	7.35	7.35
