#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
427010	1940-11-01 00:00:00	1940	1941	11	2.8	2.8	2.8
427010	1940-11-02 00:00:00	1940	1941	11	2.8	2.8	2.8
427010	1940-11-03 00:00:00	1940	1941	11	3.5	3.5	3.5
427010	1940-11-04 00:00:00	1940	1941	11	47	47	134
427010	1940-11-05 00:00:00	1940	1941	11	32	32	32
427010	1940-11-06 00:00:00	1940	1941	11	9	9	9
427010	1940-11-07 00:00:00	1940	1941	11	10.5	10.5	10.5
427010	1940-11-08 00:00:00	1940	1941	11	9.25	9.25	9.25
427010	1940-11-09 00:00:00	1940	1941	11	7.5	7.5	7.5
427010	1940-11-10 00:00:00	1940	1941	11	6.83	6.83	6.83
427010	1940-11-11 00:00:00	1940	1941	11	6.39	6.39	6.39
427010	1940-11-12 00:00:00	1940	1941	11	10.8	10.8	10.8
427010	1940-11-13 00:00:00	1940	1941	11	15	15	15
427010	1940-11-14 00:00:00	1940	1941	11	12	12	12
427010	1940-11-15 00:00:00	1940	1941	11	8.5	8.5	8.5
427010	1940-11-16 00:00:00	1940	1941	11	7.28	7.28	7.28
427010	1940-11-17 00:00:00	1940	1941	11	6.83	6.83	6.83
427010	1940-11-18 00:00:00	1940	1941	11	6.17	6.17	6.17
427010	1940-11-19 00:00:00	1940	1941	11	6.17	6.17	6.17
427010	1940-11-20 00:00:00	1940	1941	11	5.5	5.5	5.5
427010	1940-11-21 00:00:00	1940	1941	11	5.28	5.28	5.28
427010	1940-11-22 00:00:00	1940	1941	11	5.08	5.08	5.08
427010	1940-11-23 00:00:00	1940	1941	11	4.89	4.89	4.89
427010	1940-11-24 00:00:00	1940	1941	11	4.51	4.51	4.51
427010	1940-11-25 00:00:00	1940	1941	11	4.33	4.33	4.33
427010	1940-11-26 00:00:00	1940	1941	11	4.16	4.16	4.16
427010	1940-11-27 00:00:00	1940	1941	11	3.99	3.99	3.99
427010	1940-11-28 00:00:00	1940	1941	11	3.82	3.82	3.82
427010	1940-11-29 00:00:00	1940	1941	11	3.82	3.82	3.82
427010	1940-11-30 00:00:00	1940	1941	11	3.82	3.82	3.82
427010	1940-12-01 00:00:00	1940	1941	12	3.66	3.66	20
427010	1940-12-02 00:00:00	1940	1941	12	3.22	3.22	3.22
427010	1940-12-03 00:00:00	1940	1941	12	3.5	3.5	3.5
427010	1940-12-04 00:00:00	1940	1941	12	3.36	3.36	3.36
427010	1940-12-05 00:00:00	1940	1941	12	3.36	3.36	3.36
427010	1940-12-06 00:00:00	1940	1941	12	3.66	3.66	3.66
427010	1940-12-07 00:00:00	1940	1941	12	3.99	3.99	3.99
427010	1940-12-08 00:00:00	1940	1941	12	3.82	3.82	3.82
427010	1940-12-09 00:00:00	1940	1941	12	3.82	3.82	3.82
427010	1940-12-10 00:00:00	1940	1941	12	3.99	3.99	3.99
427010	1940-12-11 00:00:00	1940	1941	12	5.08	5.08	5.08
427010	1940-12-12 00:00:00	1940	1941	12	4.7	4.7	4.7
427010	1940-12-13 00:00:00	1940	1941	12	4.33	4.33	4.33
427010	1940-12-14 00:00:00	1940	1941	12	4.16	4.16	4.16
427010	1940-12-15 00:00:00	1940	1941	12	3.5	3.5	3.5
427010	1940-12-16 00:00:00	1940	1941	12	3.36	3.36	3.36
427010	1940-12-17 00:00:00	1940	1941	12	2.94	2.94	2.94
427010	1940-12-18 00:00:00	1940	1941	12	3.66	3.66	3.66
427010	1940-12-19 00:00:00	1940	1941	12	4.33	4.33	4.33
427010	1940-12-20 00:00:00	1940	1941	12	6.39	6.39	6.39
427010	1940-12-21 00:00:00	1940	1941	12	11	11	11
427010	1940-12-22 00:00:00	1940	1941	12	15	15	15
427010	1940-12-23 00:00:00	1940	1941	12	17	17	17
427010	1940-12-24 00:00:00	1940	1941	12	19.5	19.5	19.5
427010	1940-12-25 00:00:00	1940	1941	12	14.5	14.5	14.5
427010	1940-12-26 00:00:00	1940	1941	12	11.5	11.5	11.5
427010	1940-12-27 00:00:00	1940	1941	12	9.25	9.25	9.25
427010	1940-12-28 00:00:00	1940	1941	12	6.39	6.39	6.39
427010	1940-12-29 00:00:00	1940	1941	12	4.89	4.89	4.89
427010	1940-12-30 00:00:00	1940	1941	12	4.16	4.16	4.16
427010	1940-12-31 00:00:00	1940	1941	12	5.5	5.5	5.5
427010	1941-01-01 00:00:00	1941	1941	1	8.75	8.75	8.75
427010	1941-01-02 00:00:00	1941	1941	1	8	8	8
427010	1941-01-03 00:00:00	1941	1941	1	6.61	6.61	6.61
427010	1941-01-04 00:00:00	1941	1941	1	5.72	5.72	5.72
427010	1941-01-05 00:00:00	1941	1941	1	5.72	5.72	5.72
427010	1941-01-06 00:00:00	1941	1941	1	5.08	5.08	5.08
427010	1941-01-07 00:00:00	1941	1941	1	3.66	3.66	3.66
