#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
573100	1959-11-01 00:00:00	1959	1960	11	4.85	4.85	4.85
573100	1959-11-02 00:00:00	1959	1960	11	3.95	3.95	3.95
573100	1959-11-03 00:00:00	1959	1960	11	3.8	3.8	3.8
573100	1959-11-04 00:00:00	1959	1960	11	3.95	3.95	3.95
573100	1959-11-05 00:00:00	1959	1960	11	4.1	4.1	4.1
573100	1959-11-06 00:00:00	1959	1960	11	4.1	4.1	4.1
573100	1959-11-07 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-08 00:00:00	1959	1960	11	4.55	4.55	4.55
573100	1959-11-09 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-10 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-11 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-12 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-13 00:00:00	1959	1960	11	3.95	3.95	3.95
573100	1959-11-14 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-15 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-16 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-17 00:00:00	1959	1960	11	4.55	4.55	4.55
573100	1959-11-18 00:00:00	1959	1960	11	4.55	4.55	4.55
573100	1959-11-19 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-20 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-21 00:00:00	1959	1960	11	4.55	4.55	4.55
573100	1959-11-22 00:00:00	1959	1960	11	4.7	4.7	4.7
573100	1959-11-23 00:00:00	1959	1960	11	3.95	3.95	3.95
573100	1959-11-24 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-25 00:00:00	1959	1960	11	4.4	4.4	4.4
573100	1959-11-26 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-27 00:00:00	1959	1960	11	3.95	3.95	3.95
573100	1959-11-28 00:00:00	1959	1960	11	3.95	3.95	3.95
573100	1959-11-29 00:00:00	1959	1960	11	4.25	4.25	4.25
573100	1959-11-30 00:00:00	1959	1960	11	3.8	3.8	3.8
573100	1959-12-01 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-02 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-03 00:00:00	1959	1960	12	3.95	3.95	3.95
573100	1959-12-04 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-05 00:00:00	1959	1960	12	3.95	3.95	3.95
573100	1959-12-06 00:00:00	1959	1960	12	3.8	3.8	3.8
573100	1959-12-07 00:00:00	1959	1960	12	3.95	3.95	3.95
573100	1959-12-08 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-09 00:00:00	1959	1960	12	4.1	4.1	4.1
573100	1959-12-10 00:00:00	1959	1960	12	2.15	2.15	2.15
573100	1959-12-11 00:00:00	1959	1960	12	2.6	2.6	2.6
573100	1959-12-12 00:00:00	1959	1960	12	3.5	3.5	3.5
573100	1959-12-13 00:00:00	1959	1960	12	3.65	3.65	3.65
573100	1959-12-14 00:00:00	1959	1960	12	3.8	3.8	3.8
573100	1959-12-15 00:00:00	1959	1960	12	3.2	3.2	3.2
573100	1959-12-16 00:00:00	1959	1960	12	3.02	3.02	3.02
573100	1959-12-17 00:00:00	1959	1960	12	2.9	2.9	2.9
573100	1959-12-18 00:00:00	1959	1960	12	3.5	3.5	3.5
573100	1959-12-19 00:00:00	1959	1960	12	3.5	3.5	3.5
573100	1959-12-20 00:00:00	1959	1960	12	3.8	3.8	3.8
573100	1959-12-21 00:00:00	1959	1960	12	3.95	3.95	3.95
573100	1959-12-22 00:00:00	1959	1960	12	3.95	3.95	3.95
573100	1959-12-23 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-24 00:00:00	1959	1960	12	4.4	4.4	4.4
573100	1959-12-25 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-26 00:00:00	1959	1960	12	4.25	4.25	4.25
573100	1959-12-27 00:00:00	1959	1960	12	6	6	6
573100	1959-12-28 00:00:00	1959	1960	12	7	7	7
573100	1959-12-29 00:00:00	1959	1960	12	9.22	9.22	9.22
573100	1959-12-30 00:00:00	1959	1960	12	8.92	8.92	8.92
573100	1959-12-31 00:00:00	1959	1960	12	8.13	8.13	8.13
573100	1960-01-01 00:00:00	1960	1960	1	7.64	7.64	7.64
573100	1960-01-02 00:00:00	1960	1960	1	7	7	7
573100	1960-01-03 00:00:00	1960	1960	1	7	7	7
573100	1960-01-04 00:00:00	1960	1960	1	6.8	6.8	6.8
573100	1960-01-05 00:00:00	1960	1960	1	6.8	6.8	6.8
573100	1960-01-06 00:00:00	1960	1960	1	7	7	7
573100	1960-01-07 00:00:00	1960	1960	1	7.64	7.64	7.64
573100	1960-01-08 00:00:00	1960	1960	1	8.13	8.13	8.13
573100	1960-01-09 00:00:00	1960	1960	1	7.64	7.64	7.64
573100	1960-01-10 00:00:00	1960	1960	1	7	7	7
573100	1960-01-11 00:00:00	1960	1960	1	6.6	6.6	6.6
573100	1960-01-12 00:00:00	1960	1960	1	6.8	6.8	6.8
573100	1960-01-13 00:00:00	1960	1960	1	6.4	6.4	6.4
573100	1960-01-14 00:00:00	1960	1960	1	5.66	5.66	5.66
573100	1960-01-15 00:00:00	1960	1960	1	5.34	5.34	5.34
573100	1960-01-16 00:00:00	1960	1960	1	5.34	5.34	5.34
573100	1960-01-17 00:00:00	1960	1960	1	5.18	5.18	5.18
573100	1960-01-18 00:00:00	1960	1960	1	5.02	5.02	5.02
573100	1960-01-19 00:00:00	1960	1960	1	4.85	4.85	4.85
573100	1960-01-20 00:00:00	1960	1960	1	5.02	5.02	5.02
573100	1960-01-21 00:00:00	1960	1960	1	4.85	4.85	4.85
573100	1960-01-22 00:00:00	1960	1960	1	4.7	4.7	4.7
573100	1960-01-23 00:00:00	1960	1960	1	5.02	5.02	5.02
573100	1960-01-24 00:00:00	1960	1960	1	6	6	6
573100	1960-01-25 00:00:00	1960	1960	1	8.39	8.39	8.39
573100	1960-01-26 00:00:00	1960	1960	1	7.64	7.64	7.64
573100	1960-01-27 00:00:00	1960	1960	1	8.39	8.39	8.39
573100	1960-01-28 00:00:00	1960	1960	1	9.22	9.22	9.22
573100	1960-01-29 00:00:00	1960	1960	1	9.52	9.52	9.52
573100	1960-01-30 00:00:00	1960	1960	1	9.22	9.22	9.22
573100	1960-01-31 00:00:00	1960	1960	1	13.2	13.2	13.2
573100	1960-02-01 00:00:00	1960	1960	2	10.8	10.8	10.8
573100	1960-02-02 00:00:00	1960	1960	2	10.1	10.1	10.1
573100	1960-02-03 00:00:00	1960	1960	2	8.92	8.92	8.92
573100	1960-02-04 00:00:00	1960	1960	2	8.39	8.39	8.39
573100	1960-02-05 00:00:00	1960	1960	2	7.88	7.88	7.88
573100	1960-02-06 00:00:00	1960	1960	2	7.42	7.42	7.42
573100	1960-02-07 00:00:00	1960	1960	2	7	7	7
573100	1960-02-08 00:00:00	1960	1960	2	5.82	5.82	5.82
573100	1960-02-09 00:00:00	1960	1960	2	5.5	5.5	5.5
573100	1960-02-10 00:00:00	1960	1960	2	5.18	5.18	5.18
573100	1960-02-11 00:00:00	1960	1960	2	5.82	5.82	5.82
573100	1960-02-12 00:00:00	1960	1960	2	5.82	5.82	5.82
573100	1960-02-13 00:00:00	1960	1960	2	5.66	5.66	5.66
573100	1960-02-14 00:00:00	1960	1960	2	5.66	5.66	5.66
573100	1960-02-15 00:00:00	1960	1960	2	5.5	5.5	5.5
573100	1960-02-16 00:00:00	1960	1960	2	5.5	5.5	5.5
573100	1960-02-17 00:00:00	1960	1960	2	5.18	5.18	5.18
573100	1960-02-18 00:00:00	1960	1960	2	5.18	5.18	5.18
573100	1960-02-19 00:00:00	1960	1960	2	5.02	5.02	5.02
573100	1960-02-20 00:00:00	1960	1960	2	4.85	4.85	4.85
573100	1960-02-21 00:00:00	1960	1960	2	5.02	5.02	5.02
573100	1960-02-22 00:00:00	1960	1960	2	4.85	4.85	4.85
573100	1960-02-23 00:00:00	1960	1960	2	5.02	5.02	5.02
573100	1960-02-24 00:00:00	1960	1960	2	5.02	5.02	5.02
573100	1960-02-25 00:00:00	1960	1960	2	4.7	4.7	4.7
573100	1960-02-26 00:00:00	1960	1960	2	5.5	5.5	5.5
573100	1960-02-27 00:00:00	1960	1960	2	5.66	5.66	5.66
573100	1960-02-28 00:00:00	1960	1960	2	6	6	6
573100	1960-02-29 00:00:00	1960	1960	2	6.6	6.6	6.6
573100	1960-03-01 00:00:00	1960	1960	3	8.13	8.13	8.13
573100	1960-03-02 00:00:00	1960	1960	3	11.8	11.8	11.8
573100	1960-03-03 00:00:00	1960	1960	3	12.5	12.5	12.5
573100	1960-03-04 00:00:00	1960	1960	3	11.8	11.8	11.8
573100	1960-03-05 00:00:00	1960	1960	3	12.1	12.1	12.1
573100	1960-03-06 00:00:00	1960	1960	3	12.1	12.1	12.1
573100	1960-03-07 00:00:00	1960	1960	3	11.5	11.5	11.5
573100	1960-03-08 00:00:00	1960	1960	3	10.8	10.8	10.8
573100	1960-03-09 00:00:00	1960	1960	3	9.82	9.82	9.82
573100	1960-03-10 00:00:00	1960	1960	3	9.22	9.22	9.22
573100	1960-03-11 00:00:00	1960	1960	3	8.65	8.65	8.65
573100	1960-03-12 00:00:00	1960	1960	3	8.13	8.13	8.13
573100	1960-03-13 00:00:00	1960	1960	3	7.42	7.42	7.42
573100	1960-03-14 00:00:00	1960	1960	3	7	7	7
573100	1960-03-15 00:00:00	1960	1960	3	6.2	6.2	6.2
573100	1960-03-16 00:00:00	1960	1960	3	6.6	6.6	6.6
573100	1960-03-17 00:00:00	1960	1960	3	6.4	6.4	6.4
573100	1960-03-18 00:00:00	1960	1960	3	6.4	6.4	6.4
573100	1960-03-19 00:00:00	1960	1960	3	6	6	6
573100	1960-03-20 00:00:00	1960	1960	3	6	6	6
573100	1960-03-21 00:00:00	1960	1960	3	5.82	5.82	5.82
573100	1960-03-22 00:00:00	1960	1960	3	5.66	5.66	5.66
573100	1960-03-23 00:00:00	1960	1960	3	5.66	5.66	5.66
573100	1960-03-24 00:00:00	1960	1960	3	5.5	5.5	5.5
573100	1960-03-25 00:00:00	1960	1960	3	5.34	5.34	5.34
573100	1960-03-26 00:00:00	1960	1960	3	5.5	5.5	5.5
573100	1960-03-27 00:00:00	1960	1960	3	5.18	5.18	5.18
573100	1960-03-28 00:00:00	1960	1960	3	5.34	5.34	5.34
573100	1960-03-29 00:00:00	1960	1960	3	5.82	5.82	5.82
573100	1960-03-30 00:00:00	1960	1960	3	5.82	5.82	5.82
573100	1960-03-31 00:00:00	1960	1960	3	5.34	5.34	5.34
573100	1960-04-01 00:00:00	1960	1960	4	5.34	5.34	5.34
573100	1960-04-02 00:00:00	1960	1960	4	5.34	5.34	5.34
573100	1960-04-03 00:00:00	1960	1960	4	5.18	5.18	5.18
573100	1960-04-04 00:00:00	1960	1960	4	5.02	5.02	5.02
573100	1960-04-05 00:00:00	1960	1960	4	5.18	5.18	5.18
573100	1960-04-06 00:00:00	1960	1960	4	5.02	5.02	5.02
573100	1960-04-07 00:00:00	1960	1960	4	4.85	4.85	4.85
573100	1960-04-08 00:00:00	1960	1960	4	4.7	4.7	4.7
573100	1960-04-09 00:00:00	1960	1960	4	4.55	4.55	4.55
573100	1960-04-10 00:00:00	1960	1960	4	5.18	5.18	5.18
573100	1960-04-11 00:00:00	1960	1960	4	5.18	5.18	5.18
573100	1960-04-12 00:00:00	1960	1960	4	4.85	4.85	4.85
573100	1960-04-13 00:00:00	1960	1960	4	4.7	4.7	4.7
573100	1960-04-14 00:00:00	1960	1960	4	4.55	4.55	4.55
573100	1960-04-15 00:00:00	1960	1960	4	4.55	4.55	4.55
573100	1960-04-16 00:00:00	1960	1960	4	4.4	4.4	4.4
573100	1960-04-17 00:00:00	1960	1960	4	4.55	4.55	4.55
573100	1960-04-18 00:00:00	1960	1960	4	4.55	4.55	4.55
573100	1960-04-19 00:00:00	1960	1960	4	4.4	4.4	4.4
573100	1960-04-20 00:00:00	1960	1960	4	4.25	4.25	4.25
573100	1960-04-21 00:00:00	1960	1960	4	4.25	4.25	4.25
573100	1960-04-22 00:00:00	1960	1960	4	4.1	4.1	4.1
573100	1960-04-23 00:00:00	1960	1960	4	3.8	3.8	3.8
