#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
571800	1963-11-01 00:00:00	1963	1964	11	11	11	11
571800	1963-11-02 00:00:00	1963	1964	11	13	13	13
571800	1963-11-03 00:00:00	1963	1964	11	15	15	15
571800	1963-11-04 00:00:00	1963	1964	11	13	13	13
571800	1963-11-05 00:00:00	1963	1964	11	13	13	13
571800	1963-11-06 00:00:00	1963	1964	11	12	12	12
571800	1963-11-07 00:00:00	1963	1964	11	11	11	11
571800	1963-11-08 00:00:00	1963	1964	11	11	11	11
571800	1963-11-09 00:00:00	1963	1964	11	10	10	10
571800	1963-11-10 00:00:00	1963	1964	11	12	12	12
571800	1963-11-11 00:00:00	1963	1964	11	12	12	12
571800	1963-11-12 00:00:00	1963	1964	11	12	12	12
571800	1963-11-13 00:00:00	1963	1964	11	12	12	12
571800	1963-11-14 00:00:00	1963	1964	11	12	12	12
571800	1963-11-15 00:00:00	1963	1964	11	13	13	13
571800	1963-11-16 00:00:00	1963	1964	11	12	12	12
571800	1963-11-17 00:00:00	1963	1964	11	12	12	12
571800	1963-11-18 00:00:00	1963	1964	11	12	12	12
571800	1963-11-19 00:00:00	1963	1964	11	12	12	12
571800	1963-11-20 00:00:00	1963	1964	11	16	16	21
571800	1963-11-21 00:00:00	1963	1964	11	18	18	18
571800	1963-11-22 00:00:00	1963	1964	11	15	15	15
571800	1963-11-23 00:00:00	1963	1964	11	13	13	13
571800	1963-11-24 00:00:00	1963	1964	11	13	13	13
571800	1963-11-25 00:00:00	1963	1964	11	13	13	13
571800	1963-11-26 00:00:00	1963	1964	11	13	13	13
571800	1963-11-27 00:00:00	1963	1964	11	13	13	13
571800	1963-11-28 00:00:00	1963	1964	11	13	13	13
571800	1963-11-29 00:00:00	1963	1964	11	13	13	13
571800	1963-11-30 00:00:00	1963	1964	11	12	12	12
571800	1963-12-01 00:00:00	1963	1964	12	12	12	12
571800	1963-12-02 00:00:00	1963	1964	12	12	12	12
571800	1963-12-03 00:00:00	1963	1964	12	12	12	12
571800	1963-12-04 00:00:00	1963	1964	12	12	12	12
571800	1963-12-05 00:00:00	1963	1964	12	11	11	11
571800	1963-12-06 00:00:00	1963	1964	12	11	11	11
571800	1963-12-07 00:00:00	1963	1964	12	10	10	10
571800	1963-12-08 00:00:00	1963	1964	12	10	10	10
571800	1963-12-09 00:00:00	1963	1964	12	10	10	10
571800	1963-12-10 00:00:00	1963	1964	12	10	10	10
571800	1963-12-11 00:00:00	1963	1964	12	10	10	10
571800	1963-12-12 00:00:00	1963	1964	12	10	10	10
571800	1963-12-13 00:00:00	1963	1964	12	10	10	10
571800	1963-12-14 00:00:00	1963	1964	12	10	10	10
571800	1963-12-15 00:00:00	1963	1964	12	12	12	12
571800	1963-12-16 00:00:00	1963	1964	12	12	12	12
571800	1963-12-17 00:00:00	1963	1964	12	12	12	12
571800	1963-12-18 00:00:00	1963	1964	12	12	12	12
571800	1963-12-19 00:00:00	1963	1964	12	12	12	12
571800	1963-12-20 00:00:00	1963	1964	12	12	12	12
571800	1963-12-21 00:00:00	1963	1964	12	12	12	12
571800	1963-12-22 00:00:00	1963	1964	12	12	12	12
571800	1963-12-23 00:00:00	1963	1964	12	12	12	12
571800	1963-12-24 00:00:00	1963	1964	12	12	12	12
571800	1963-12-25 00:00:00	1963	1964	12	12	12	12
571800	1963-12-26 00:00:00	1963	1964	12	12	12	12
571800	1963-12-27 00:00:00	1963	1964	12	12	12	12
571800	1963-12-28 00:00:00	1963	1964	12	13	13	13
571800	1963-12-29 00:00:00	1963	1964	12	14	14	14
571800	1963-12-30 00:00:00	1963	1964	12	14	14	14
571800	1963-12-31 00:00:00	1963	1964	12	14	14	14
571800	1964-01-01 00:00:00	1964	1964	1	14	14	16
571800	1964-01-02 00:00:00	1964	1964	1	13	13	13
571800	1964-01-03 00:00:00	1964	1964	1	12	12	12
571800	1964-01-04 00:00:00	1964	1964	1	11	11	11
571800	1964-01-05 00:00:00	1964	1964	1	10	10	10
571800	1964-01-06 00:00:00	1964	1964	1	10	10	10
571800	1964-01-07 00:00:00	1964	1964	1	10	10	10
