#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
424000	1955-11-01 00:00:00	1955	1956	11	30	30	30
424000	1955-11-02 00:00:00	1955	1956	11	30	30	30
424000	1955-11-03 00:00:00	1955	1956	11	30	30	30
424000	1955-11-04 00:00:00	1955	1956	11	30	30	30
424000	1955-11-05 00:00:00	1955	1956	11	30	30	30
424000	1955-11-06 00:00:00	1955	1956	11	30	30	30
424000	1955-11-07 00:00:00	1955	1956	11	30	30	30
424000	1955-11-08 00:00:00	1955	1956	11	30	30	30
424000	1955-11-09 00:00:00	1955	1956	11	30	30	30
424000	1955-11-10 00:00:00	1955	1956	11	30	30	30
424000	1955-11-11 00:00:00	1955	1956	11	30	30	30
424000	1955-11-12 00:00:00	1955	1956	11	30	30	30
424000	1955-11-13 00:00:00	1955	1956	11	30	30	30
424000	1955-11-14 00:00:00	1955	1956	11	30	30	30
424000	1955-11-15 00:00:00	1955	1956	11	30	30	30
424000	1955-11-16 00:00:00	1955	1956	11	30	30	30
424000	1955-11-17 00:00:00	1955	1956	11	30	30	30
424000	1955-11-18 00:00:00	1955	1956	11	30	30	30
424000	1955-11-19 00:00:00	1955	1956	11	30	30	30
424000	1955-11-20 00:00:00	1955	1956	11	30	30	30
424000	1955-11-21 00:00:00	1955	1956	11	30	30	30
424000	1955-11-22 00:00:00	1955	1956	11	30	30	30
424000	1955-11-23 00:00:00	1955	1956	11	30	30	30
424000	1955-11-24 00:00:00	1955	1956	11	30	30	30
424000	1955-11-25 00:00:00	1955	1956	11	30	30	30
424000	1955-11-26 00:00:00	1955	1956	11	30	30	30
424000	1955-11-27 00:00:00	1955	1956	11	30	30	30
424000	1955-11-28 00:00:00	1955	1956	11	30	30	30
424000	1955-11-29 00:00:00	1955	1956	11	30	30	30
424000	1955-11-30 00:00:00	1955	1956	11	30	30	30
424000	1955-12-01 00:00:00	1955	1956	12	30	30	30
424000	1955-12-02 00:00:00	1955	1956	12	30	30	30
424000	1955-12-03 00:00:00	1955	1956	12	30	30	30
424000	1955-12-04 00:00:00	1955	1956	12	30	30	30
424000	1955-12-05 00:00:00	1955	1956	12	30	30	30
424000	1955-12-06 00:00:00	1955	1956	12	32	32	32
424000	1955-12-07 00:00:00	1955	1956	12	34	34	34
424000	1955-12-08 00:00:00	1955	1956	12	36	36	36
424000	1955-12-09 00:00:00	1955	1956	12	32	32	32
424000	1955-12-10 00:00:00	1955	1956	12	38	38	38
424000	1955-12-11 00:00:00	1955	1956	12	46	46	46
424000	1955-12-12 00:00:00	1955	1956	12	32	32	32
424000	1955-12-13 00:00:00	1955	1956	12	40	40	40
424000	1955-12-14 00:00:00	1955	1956	12	38	38	38
424000	1955-12-15 00:00:00	1955	1956	12	36	36	36
424000	1955-12-16 00:00:00	1955	1956	12	56	56	56
424000	1955-12-17 00:00:00	1955	1956	12	76	76	76
424000	1955-12-18 00:00:00	1955	1956	12	88	88	88
424000	1955-12-19 00:00:00	1955	1956	12	82	82	82
424000	1955-12-20 00:00:00	1955	1956	12	66	66	66
424000	1955-12-21 00:00:00	1955	1956	12	52	52	52
424000	1955-12-22 00:00:00	1955	1956	12	50	50	50
424000	1955-12-23 00:00:00	1955	1956	12	48	48	48
424000	1955-12-24 00:00:00	1955	1956	12	44	44	44
424000	1955-12-25 00:00:00	1955	1956	12	42	42	42
424000	1955-12-26 00:00:00	1955	1956	12	42	42	42
424000	1955-12-27 00:00:00	1955	1956	12	42	42	42
424000	1955-12-28 00:00:00	1955	1956	12	64	64	64
424000	1955-12-29 00:00:00	1955	1956	12	66	66	66
424000	1955-12-30 00:00:00	1955	1956	12	70	70	70
424000	1955-12-31 00:00:00	1955	1956	12	60	60	60
424000	1956-01-01 00:00:00	1956	1956	1	58	58	58
424000	1956-01-02 00:00:00	1956	1956	1	56	56	56
424000	1956-01-03 00:00:00	1956	1956	1	50	50	50
424000	1956-01-04 00:00:00	1956	1956	1	48	48	48
424000	1956-01-05 00:00:00	1956	1956	1	46	46	46
424000	1956-01-06 00:00:00	1956	1956	1	46	46	46
424000	1956-01-07 00:00:00	1956	1956	1	44	44	44
424000	1956-01-08 00:00:00	1956	1956	1	40	40	40
424000	1956-01-09 00:00:00	1956	1956	1	38	38	38
