#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
570270	1942-11-01 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-02 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-03 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-04 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-05 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-06 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-07 00:00:00	1942	1943	11	15.4	15.4	15.4
570270	1942-11-08 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-09 00:00:00	1942	1943	11	15.4	15.4	15.4
570270	1942-11-10 00:00:00	1942	1943	11	15.4	15.4	15.4
570270	1942-11-11 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-12 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-13 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-14 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-15 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-16 00:00:00	1942	1943	11	14.8	14.8	14.8
570270	1942-11-17 00:00:00	1942	1943	11	15.4	15.4	15.4
570270	1942-11-18 00:00:00	1942	1943	11	16.1	16.1	16.1
570270	1942-11-19 00:00:00	1942	1943	11	16.1	16.1	16.1
570270	1942-11-20 00:00:00	1942	1943	11	16.1	16.1	16.1
570270	1942-11-21 00:00:00	1942	1943	11	16.1	16.1	16.1
570270	1942-11-22 00:00:00	1942	1943	11	16.1	16.1	16.1
570270	1942-11-23 00:00:00	1942	1943	11	16.1	16.1	16.1
570270	1942-11-24 00:00:00	1942	1943	11	16.7	16.7	16.7
570270	1942-11-25 00:00:00	1942	1943	11	16.7	16.7	16.7
570270	1942-11-26 00:00:00	1942	1943	11	16.7	16.7	16.7
570270	1942-11-27 00:00:00	1942	1943	11	17.4	17.4	25.3
570270	1942-11-28 00:00:00	1942	1943	11	16.7	16.7	16.7
570270	1942-11-29 00:00:00	1942	1943	11	16.7	16.7	16.7
570270	1942-11-30 00:00:00	1942	1943	11	16.7	16.7	16.7
570270	1942-12-01 00:00:00	1942	1943	12	16.7	16.7	16.7
570270	1942-12-02 00:00:00	1942	1943	12	16.1	16.1	16.1
570270	1942-12-03 00:00:00	1942	1943	12	16.7	16.7	16.7
570270	1942-12-04 00:00:00	1942	1943	12	17.4	17.4	17.4
570270	1942-12-05 00:00:00	1942	1943	12	18	18	18
570270	1942-12-06 00:00:00	1942	1943	12	21.4	21.4	21.4
570270	1942-12-07 00:00:00	1942	1943	12	23	23	23
570270	1942-12-08 00:00:00	1942	1943	12	25.3	25.3	25.3
570270	1942-12-09 00:00:00	1942	1943	12	26.7	26.7	26.7
570270	1942-12-10 00:00:00	1942	1943	12	27.5	27.5	28.2
570270	1942-12-11 00:00:00	1942	1943	12	27.5	27.5	27.5
570270	1942-12-12 00:00:00	1942	1943	12	26.7	26.7	26.7
570270	1942-12-13 00:00:00	1942	1943	12	26	26	26
570270	1942-12-14 00:00:00	1942	1943	12	25.3	25.3	25.3
570270	1942-12-15 00:00:00	1942	1943	12	24.6	24.6	24.6
570270	1942-12-16 00:00:00	1942	1943	12	23	23	23
570270	1942-12-17 00:00:00	1942	1943	12	22.2	22.2	22.2
570270	1942-12-18 00:00:00	1942	1943	12	21.4	21.4	21.4
570270	1942-12-19 00:00:00	1942	1943	12	20.7	20.7	20.7
570270	1942-12-20 00:00:00	1942	1943	12	20.7	20.7	20.7
570270	1942-12-21 00:00:00	1942	1943	12	20	20	20
570270	1942-12-22 00:00:00	1942	1943	12	20	20	20
570270	1942-12-23 00:00:00	1942	1943	12	20	20	20
570270	1942-12-24 00:00:00	1942	1943	12	20	20	20
570270	1942-12-25 00:00:00	1942	1943	12	19.4	19.4	19.4
570270	1942-12-26 00:00:00	1942	1943	12	19.4	19.4	19.4
570270	1942-12-27 00:00:00	1942	1943	12	19.4	19.4	19.4
570270	1942-12-28 00:00:00	1942	1943	12	19.4	19.4	19.4
570270	1942-12-29 00:00:00	1942	1943	12	19.4	19.4	19.4
570270	1942-12-30 00:00:00	1942	1943	12	18	18	18
570270	1942-12-31 00:00:00	1942	1943	12	18	18	18
570270	1943-01-01 00:00:00	1943	1943	1	17.4	17.4	17.4
570270	1943-01-02 00:00:00	1943	1943	1	17.4	17.4	17.4
570270	1943-01-03 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-04 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-05 00:00:00	1943	1943	1	17.4	17.4	17.4
570270	1943-01-06 00:00:00	1943	1943	1	17.4	17.4	17.4
570270	1943-01-07 00:00:00	1943	1943	1	18	18	18
570270	1943-01-08 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-09 00:00:00	1943	1943	1	16.1	16.1	16.1
570270	1943-01-10 00:00:00	1943	1943	1	15.4	15.4	15.4
570270	1943-01-11 00:00:00	1943	1943	1	14.8	14.8	14.8
570270	1943-01-12 00:00:00	1943	1943	1	15.4	15.4	15.4
570270	1943-01-13 00:00:00	1943	1943	1	15.4	15.4	15.4
570270	1943-01-14 00:00:00	1943	1943	1	16.1	16.1	16.1
570270	1943-01-15 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-16 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-17 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-18 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-19 00:00:00	1943	1943	1	16.1	16.1	16.1
570270	1943-01-20 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-21 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-22 00:00:00	1943	1943	1	16.7	16.7	16.7
570270	1943-01-23 00:00:00	1943	1943	1	18	18	18
570270	1943-01-24 00:00:00	1943	1943	1	20	20	20
570270	1943-01-25 00:00:00	1943	1943	1	19.4	19.4	19.4
570270	1943-01-26 00:00:00	1943	1943	1	18.7	18.7	18.7
570270	1943-01-27 00:00:00	1943	1943	1	19.4	19.4	19.4
570270	1943-01-28 00:00:00	1943	1943	1	21.4	21.4	21.4
570270	1943-01-29 00:00:00	1943	1943	1	21.4	21.4	21.4
