#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
572000	1990-11-01 00:00:00	1990	1991	11	7	7	7
572000	1990-11-02 00:00:00	1990	1991	11	7	7	7
572000	1990-11-03 00:00:00	1990	1991	11	7	7	7
572000	1990-11-04 00:00:00	1990	1991	11	8	8	8
572000	1990-11-05 00:00:00	1990	1991	11	9	9	9
572000	1990-11-06 00:00:00	1990	1991	11	9	9	9
572000	1990-11-07 00:00:00	1990	1991	11	9	9	9
572000	1990-11-08 00:00:00	1990	1991	11	8	8	8
572000	1990-11-09 00:00:00	1990	1991	11	8	8	8
572000	1990-11-10 00:00:00	1990	1991	11	8	8	8
572000	1990-11-11 00:00:00	1990	1991	11	7	7	7
572000	1990-11-12 00:00:00	1990	1991	11	8	8	8
572000	1990-11-13 00:00:00	1990	1991	11	8	8	8
572000	1990-11-14 00:00:00	1990	1991	11	8	8	8
572000	1990-11-15 00:00:00	1990	1991	11	8	8	8
572000	1990-11-16 00:00:00	1990	1991	11	8	8	8
572000	1990-11-17 00:00:00	1990	1991	11	10	10	10
572000	1990-11-18 00:00:00	1990	1991	11	19	19	19
572000	1990-11-19 00:00:00	1990	1991	11	22	22	22
572000	1990-11-20 00:00:00	1990	1991	11	28	28	28
572000	1990-11-21 00:00:00	1990	1991	11	38	38	41
572000	1990-11-22 00:00:00	1990	1991	11	34	34	34
572000	1990-11-23 00:00:00	1990	1991	11	29	29	29
572000	1990-11-24 00:00:00	1990	1991	11	23	23	23
572000	1990-11-25 00:00:00	1990	1991	11	19	19	19
572000	1990-11-26 00:00:00	1990	1991	11	17	17	17
572000	1990-11-27 00:00:00	1990	1991	11	15	15	15
572000	1990-11-28 00:00:00	1990	1991	11	13	13	13
572000	1990-11-29 00:00:00	1990	1991	11	12	12	12
572000	1990-11-30 00:00:00	1990	1991	11	11	11	11
572000	1990-12-01 00:00:00	1990	1991	12	10	10	10
572000	1990-12-02 00:00:00	1990	1991	12	10	10	10
