#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
421560	1966-11-01 00:00:00	1966	1967	11	24	24	24
421560	1966-11-02 00:00:00	1966	1967	11	24	24	24
421560	1966-11-03 00:00:00	1966	1967	11	24	24	24
421560	1966-11-04 00:00:00	1966	1967	11	24	24	24
421560	1966-11-05 00:00:00	1966	1967	11	24	24	24
421560	1966-11-06 00:00:00	1966	1967	11	23	23	23
421560	1966-11-07 00:00:00	1966	1967	11	22	22	22
421560	1966-11-08 00:00:00	1966	1967	11	22	22	22
421560	1966-11-09 00:00:00	1966	1967	11	22	22	22
421560	1966-11-10 00:00:00	1966	1967	11	23	23	23
421560	1966-11-11 00:00:00	1966	1967	11	22	22	22
421560	1966-11-12 00:00:00	1966	1967	11	22	22	22
421560	1966-11-13 00:00:00	1966	1967	11	22	22	22
421560	1966-11-14 00:00:00	1966	1967	11	22	22	22
421560	1966-11-15 00:00:00	1966	1967	11	22	22	22
421560	1966-11-16 00:00:00	1966	1967	11	21	21	21
421560	1966-11-17 00:00:00	1966	1967	11	20	20	20
421560	1966-11-18 00:00:00	1966	1967	11	20	20	20
421560	1966-11-19 00:00:00	1966	1967	11	20	20	20
421560	1966-11-20 00:00:00	1966	1967	11	20	20	20
421560	1966-11-21 00:00:00	1966	1967	11	20	20	20
421560	1966-11-22 00:00:00	1966	1967	11	20	20	20
421560	1966-11-23 00:00:00	1966	1967	11	20	20	20
421560	1966-11-24 00:00:00	1966	1967	11	20	20	20
421560	1966-11-25 00:00:00	1966	1967	11	20	20	20
421560	1966-11-26 00:00:00	1966	1967	11	20	20	20
421560	1966-11-27 00:00:00	1966	1967	11	20	20	20
421560	1966-11-28 00:00:00	1966	1967	11	24	24	24
421560	1966-11-29 00:00:00	1966	1967	11	32	32	35
421560	1966-11-30 00:00:00	1966	1967	11	31	31	31
421560	1966-12-01 00:00:00	1966	1967	12	29	29	29
421560	1966-12-02 00:00:00	1966	1967	12	35	35	35
421560	1966-12-03 00:00:00	1966	1967	12	33	33	33
421560	1966-12-04 00:00:00	1966	1967	12	31	31	31
421560	1966-12-05 00:00:00	1966	1967	12	28	28	28
421560	1966-12-06 00:00:00	1966	1967	12	26	26	26
421560	1966-12-07 00:00:00	1966	1967	12	24	24	24
421560	1966-12-08 00:00:00	1966	1967	12	23	23	23
421560	1966-12-09 00:00:00	1966	1967	12	22	22	22
421560	1966-12-10 00:00:00	1966	1967	12	24	24	24
421560	1966-12-11 00:00:00	1966	1967	12	25	25	25
421560	1966-12-12 00:00:00	1966	1967	12	25	25	25
421560	1966-12-13 00:00:00	1966	1967	12	31	31	31
