#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
420010	1939-11-01 00:00:00	1939	1940	11	61	61	61
420010	1939-11-02 00:00:00	1939	1940	11	59	59	59
420010	1939-11-03 00:00:00	1939	1940	11	57	57	57
420010	1939-11-04 00:00:00	1939	1940	11	55	55	55
420010	1939-11-05 00:00:00	1939	1940	11	58	58	58
420010	1939-11-06 00:00:00	1939	1940	11	67	67	67
420010	1939-11-07 00:00:00	1939	1940	11	63	63	63
420010	1939-11-08 00:00:00	1939	1940	11	61	61	61
420010	1939-11-09 00:00:00	1939	1940	11	59	59	59
420010	1939-11-10 00:00:00	1939	1940	11	59	59	59
420010	1939-11-11 00:00:00	1939	1940	11	58	58	58
420010	1939-11-12 00:00:00	1939	1940	11	56	56	56
420010	1939-11-13 00:00:00	1939	1940	11	54	54	54
420010	1939-11-14 00:00:00	1939	1940	11	52	52	52
420010	1939-11-15 00:00:00	1939	1940	11	51	51	51
420010	1939-11-16 00:00:00	1939	1940	11	56	56	56
420010	1939-11-17 00:00:00	1939	1940	11	91	91	91
420010	1939-11-18 00:00:00	1939	1940	11	77	77	77
420010	1939-11-19 00:00:00	1939	1940	11	99	99	99
420010	1939-11-20 00:00:00	1939	1940	11	128	128	128
420010	1939-11-21 00:00:00	1939	1940	11	105	105	105
420010	1939-11-22 00:00:00	1939	1940	11	93	93	93
420010	1939-11-23 00:00:00	1939	1940	11	83	83	83
420010	1939-11-24 00:00:00	1939	1940	11	75	75	75
420010	1939-11-25 00:00:00	1939	1940	11	69	69	69
420010	1939-11-26 00:00:00	1939	1940	11	66	66	66
420010	1939-11-27 00:00:00	1939	1940	11	108	108	108
420010	1939-11-28 00:00:00	1939	1940	11	126	126	126
420010	1939-11-29 00:00:00	1939	1940	11	113	113	113
420010	1939-11-30 00:00:00	1939	1940	11	144	144	144
420010	1939-12-01 00:00:00	1939	1940	12	183	183	183
420010	1939-12-02 00:00:00	1939	1940	12	156	156	156
420010	1939-12-03 00:00:00	1939	1940	12	129	129	129
420010	1939-12-04 00:00:00	1939	1940	12	113	113	113
420010	1939-12-05 00:00:00	1939	1940	12	117	117	117
420010	1939-12-06 00:00:00	1939	1940	12	106	106	106
420010	1939-12-07 00:00:00	1939	1940	12	96	96	96
420010	1939-12-08 00:00:00	1939	1940	12	87	87	87
420010	1939-12-09 00:00:00	1939	1940	12	82	82	82
