#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
572211	1954-11-01 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-02 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-03 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-04 00:00:00	1954	1955	11	0.67	0.67	0.67
572211	1954-11-05 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-06 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-07 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-08 00:00:00	1954	1955	11	0.67	0.67	0.67
572211	1954-11-09 00:00:00	1954	1955	11	0.91	0.91	0.91
572211	1954-11-10 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-11 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-12 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-13 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-14 00:00:00	1954	1955	11	0.42	0.42	0.42
572211	1954-11-15 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-16 00:00:00	1954	1955	11	0.67	0.67	0.67
572211	1954-11-17 00:00:00	1954	1955	11	0.42	0.42	0.42
572211	1954-11-18 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-19 00:00:00	1954	1955	11	0.67	0.67	0.67
572211	1954-11-20 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-21 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-22 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-23 00:00:00	1954	1955	11	0.58	0.58	0.58
572211	1954-11-24 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-25 00:00:00	1954	1955	11	0.5	0.5	0.5
572211	1954-11-26 00:00:00	1954	1955	11	0.67	0.67	0.67
572211	1954-11-27 00:00:00	1954	1955	11	0.91	0.91	0.91
572211	1954-11-28 00:00:00	1954	1955	11	0.79	0.79	0.79
572211	1954-11-29 00:00:00	1954	1955	11	0.91	0.91	0.91
572211	1954-11-30 00:00:00	1954	1955	11	0.79	0.79	0.79
572211	1954-12-01 00:00:00	1954	1955	12	0.67	0.67	0.67
572211	1954-12-02 00:00:00	1954	1955	12	0.67	0.67	0.67
572211	1954-12-03 00:00:00	1954	1955	12	0.67	0.67	0.67
572211	1954-12-04 00:00:00	1954	1955	12	0.67	0.67	0.67
572211	1954-12-05 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-06 00:00:00	1954	1955	12	0.79	0.79	0.79
572211	1954-12-07 00:00:00	1954	1955	12	0.79	0.79	0.79
572211	1954-12-08 00:00:00	1954	1955	12	0.79	0.79	0.79
572211	1954-12-09 00:00:00	1954	1955	12	0.79	0.79	0.79
572211	1954-12-10 00:00:00	1954	1955	12	1.04	1.04	1.04
572211	1954-12-11 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-12 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-13 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-14 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-15 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-16 00:00:00	1954	1955	12	1.04	1.04	1.04
572211	1954-12-17 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-18 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-19 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-20 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-21 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-22 00:00:00	1954	1955	12	0.91	0.91	0.91
572211	1954-12-23 00:00:00	1954	1955	12	1.16	1.16	1.16
572211	1954-12-24 00:00:00	1954	1955	12	1.16	1.16	1.16
572211	1954-12-25 00:00:00	1954	1955	12	1.27	1.27	1.27
572211	1954-12-26 00:00:00	1954	1955	12	1.27	1.27	1.27
572211	1954-12-27 00:00:00	1954	1955	12	2.26	2.26	2.26
572211	1954-12-28 00:00:00	1954	1955	12	5.38	5.38	5.38
572211	1954-12-29 00:00:00	1954	1955	12	7.15	7.15	7.15
572211	1954-12-30 00:00:00	1954	1955	12	6.12	6.12	6.12
