#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
421510	1950-11-01 00:00:00	1950	1951	11	2.49	2.49	2.49
421510	1950-11-02 00:00:00	1950	1951	11	2.37	2.37	2.37
421510	1950-11-03 00:00:00	1950	1951	11	3.2	3.2	3.2
421510	1950-11-04 00:00:00	1950	1951	11	6.82	6.82	6.82
421510	1950-11-05 00:00:00	1950	1951	11	6.63	6.63	6.63
421510	1950-11-06 00:00:00	1950	1951	11	6.63	6.63	6.63
421510	1950-11-07 00:00:00	1950	1951	11	6.44	6.44	6.44
421510	1950-11-08 00:00:00	1950	1951	11	6.25	6.25	6.25
421510	1950-11-09 00:00:00	1950	1951	11	6.44	6.44	6.44
421510	1950-11-10 00:00:00	1950	1951	11	6.44	6.44	6.44
421510	1950-11-11 00:00:00	1950	1951	11	7.66	7.66	7.66
421510	1950-11-12 00:00:00	1950	1951	11	8.81	8.81	8.81
421510	1950-11-13 00:00:00	1950	1951	11	10	10	28
421510	1950-11-14 00:00:00	1950	1951	11	24.6	24.6	24.6
421510	1950-11-15 00:00:00	1950	1951	11	26.8	26.8	26.8
421510	1950-11-16 00:00:00	1950	1951	11	22.1	22.1	22.1
421510	1950-11-17 00:00:00	1950	1951	11	24.3	24.3	24.3
421510	1950-11-18 00:00:00	1950	1951	11	19.6	19.6	19.6
421510	1950-11-19 00:00:00	1950	1951	11	17	17	17
421510	1950-11-20 00:00:00	1950	1951	11	15.7	15.7	15.7
421510	1950-11-21 00:00:00	1950	1951	11	13.8	13.8	13.8
421510	1950-11-22 00:00:00	1950	1951	11	12.2	12.2	12.2
421510	1950-11-23 00:00:00	1950	1951	11	13.5	13.5	13.5
421510	1950-11-24 00:00:00	1950	1951	11	13.2	13.2	13.2
421510	1950-11-25 00:00:00	1950	1951	11	11.7	11.7	11.7
421510	1950-11-26 00:00:00	1950	1951	11	10	10	10
421510	1950-11-27 00:00:00	1950	1951	11	9.5	9.5	9.5
421510	1950-11-28 00:00:00	1950	1951	11	8.81	8.81	8.81
421510	1950-11-29 00:00:00	1950	1951	11	10	10	10
421510	1950-11-30 00:00:00	1950	1951	11	10	10	10
421510	1950-12-01 00:00:00	1950	1951	12	9.04	9.04	9.04
421510	1950-12-02 00:00:00	1950	1951	12	13.8	13.8	13.8
421510	1950-12-03 00:00:00	1950	1951	12	23.7	23.7	23.7
421510	1950-12-04 00:00:00	1950	1951	12	21.8	21.8	21.8
421510	1950-12-05 00:00:00	1950	1951	12	20.2	20.2	20.2
421510	1950-12-06 00:00:00	1950	1951	12	16.7	16.7	16.7
421510	1950-12-07 00:00:00	1950	1951	12	13.5	13.5	13.5
421510	1950-12-08 00:00:00	1950	1951	12	10.9	10.9	10.9
421510	1950-12-09 00:00:00	1950	1951	12	9.04	9.04	9.04
421510	1950-12-10 00:00:00	1950	1951	12	7.66	7.66	7.66
421510	1950-12-11 00:00:00	1950	1951	12	6.82	6.82	6.82
421510	1950-12-12 00:00:00	1950	1951	12	6.25	6.25	6.25
421510	1950-12-13 00:00:00	1950	1951	12	5.68	5.68	5.68
421510	1950-12-14 00:00:00	1950	1951	12	5.02	5.02	5.02
421510	1950-12-15 00:00:00	1950	1951	12	4.74	4.74	4.74
421510	1950-12-16 00:00:00	1950	1951	12	4.18	4.18	4.18
421510	1950-12-17 00:00:00	1950	1951	12	3.9	3.9	3.9
421510	1950-12-18 00:00:00	1950	1951	12	3.55	3.55	3.55
421510	1950-12-19 00:00:00	1950	1951	12	3.43	3.43	3.43
421510	1950-12-20 00:00:00	1950	1951	12	3.32	3.32	3.32
421510	1950-12-21 00:00:00	1950	1951	12	3.2	3.2	3.2
