#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
2441200	2021-05-31 00:00:00	2021	2021	5	0.5274791666666667	0.518	0.609
2441200	2021-06-01 00:00:00	2021	2021	6	0.518	0.518	0.518
2441200	2021-06-02 00:00:00	2021	2021	6	0.518	0.518	0.518
2441200	2021-06-03 00:00:00	2021	2021	6	0.5020625	0.433	0.518
2441200	2021-06-04 00:00:00	2021	2021	6	0.433	0.433	0.433
2441200	2021-06-05 00:00:00	2021	2021	6	0.72775	0.433	3.04
2441200	2021-06-06 00:00:00	2021	2021	6	1.81184375	0.981	3.4
2441200	2021-06-07 00:00:00	2021	2021	6	0.899875	0.798	0.981
2441200	2021-06-08 00:00:00	2021	2021	6	0.731	0.702	0.798
2441200	2021-06-09 00:00:00	2021	2021	6	0.702	0.702	0.702
2441200	2021-07-03 00:00:00	2021	2021	7	0.6227395833333333	0.518	0.892
2441200	2021-07-04 00:00:00	2021	2021	7	0.46310416666666665	0.433	0.518
2441200	2021-07-05 00:00:00	2021	2021	7	0.47815625	0.433	0.518
2441200	2021-07-06 00:00:00	2021	2021	7	0.518	0.518	0.518
2441200	2021-07-07 00:00:00	2021	2021	7	0.518	0.518	0.518
2441200	2021-07-08 00:00:00	2021	2021	7	0.49320833333333336	0.433	0.518
2441200	2021-07-09 00:00:00	2021	2021	7	2.13640625	0.433	5.49
2441200	2021-07-10 00:00:00	2021	2021	7	3.119270833333333	1.57	5.49
2441200	2021-07-11 00:00:00	2021	2021	7	1.49125	1.16	2.24
2441200	2021-07-12 00:00:00	2021	2021	7	1.18859375	0.791	1.84
2441200	2021-07-13 00:00:00	2021	2021	7	0.5968229166666666	0.53	0.791
2441200	2021-07-14 00:00:00	2021	2021	7	0.4859375	0.364	0.53
2441200	2021-07-15 00:00:00	2021	2021	7	0.4264895833333333	0.364	0.953
2441200	2021-07-16 00:00:00	2021	2021	7	1.0807916666666666	0.706	1.63
2441200	2021-07-17 00:00:00	2021	2021	7	0.618	0.618	0.618
2441200	2021-07-18 00:00:00	2021	2021	7	0.4855625	0.364	0.618
2441200	2021-07-19 00:00:00	2021	2021	7	0.35054166666666664	0.288	0.364
2441200	2021-07-20 00:00:00	2021	2021	7	0.288	0.288	0.288
2441200	2021-07-21 00:00:00	2021	2021	7	0.288	0.288	0.288
2441200	2021-07-22 00:00:00	2021	2021	7	0.288	0.288	0.288
2441200	2021-07-23 00:00:00	2021	2021	7	0.28728125	0.219	0.288
2441200	2021-07-24 00:00:00	2021	2021	7	0.23696875	0.219	0.288
2441200	2021-07-25 00:00:00	2021	2021	7	0.19609375	0.162	0.288
2441200	2021-07-26 00:00:00	2021	2021	7	0.29571875	0.219	0.445
