#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
572060	1950-11-01 00:00:00	1950	1951	11	0.94	0.94	0.94
572060	1950-11-02 00:00:00	1950	1951	11	1.01	1.01	1.01
572060	1950-11-03 00:00:00	1950	1951	11	1.28	1.28	1.28
572060	1950-11-04 00:00:00	1950	1951	11	2.1	2.1	2.1
572060	1950-11-05 00:00:00	1950	1951	11	1.84	1.84	1.84
572060	1950-11-06 00:00:00	1950	1951	11	1.46	1.46	1.46
572060	1950-11-07 00:00:00	1950	1951	11	1.84	1.84	1.84
572060	1950-11-08 00:00:00	1950	1951	11	1.84	1.84	1.84
572060	1950-11-09 00:00:00	1950	1951	11	1.97	1.97	1.97
572060	1950-11-10 00:00:00	1950	1951	11	2.1	2.1	2.1
572060	1950-11-11 00:00:00	1950	1951	11	2.24	2.24	2.24
572060	1950-11-12 00:00:00	1950	1951	11	2.38	2.38	2.38
572060	1950-11-13 00:00:00	1950	1951	11	2.65	2.65	2.65
572060	1950-11-14 00:00:00	1950	1951	11	6.92	6.92	6.92
572060	1950-11-15 00:00:00	1950	1951	11	7.28	7.28	7.28
572060	1950-11-16 00:00:00	1950	1951	11	5.06	5.06	5.06
572060	1950-11-17 00:00:00	1950	1951	11	5.61	5.61	5.61
572060	1950-11-18 00:00:00	1950	1951	11	5.06	5.06	5.06
572060	1950-11-19 00:00:00	1950	1951	11	4.16	4.16	4.16
572060	1950-11-20 00:00:00	1950	1951	11	3.89	3.89	3.89
572060	1950-11-21 00:00:00	1950	1951	11	3.75	3.75	3.75
572060	1950-11-22 00:00:00	1950	1951	11	3.34	3.34	3.34
572060	1950-11-23 00:00:00	1950	1951	11	3.2	3.2	3.2
572060	1950-11-24 00:00:00	1950	1951	11	3.2	3.2	3.2
572060	1950-11-25 00:00:00	1950	1951	11	2.79	2.79	2.79
572060	1950-11-26 00:00:00	1950	1951	11	3.2	3.2	3.2
572060	1950-11-27 00:00:00	1950	1951	11	2.93	2.93	2.93
572060	1950-11-28 00:00:00	1950	1951	11	2.65	2.65	2.65
572060	1950-11-29 00:00:00	1950	1951	11	2.65	2.65	2.65
572060	1950-11-30 00:00:00	1950	1951	11	2.51	2.51	2.51
572060	1950-12-01 00:00:00	1950	1951	12	4.16	4.16	4.16
572060	1950-12-02 00:00:00	1950	1951	12	5.24	5.24	5.24
572060	1950-12-03 00:00:00	1950	1951	12	5.98	5.98	5.98
572060	1950-12-04 00:00:00	1950	1951	12	6.92	6.92	6.92
572060	1950-12-05 00:00:00	1950	1951	12	5.98	5.98	5.98
572060	1950-12-06 00:00:00	1950	1951	12	5.06	5.06	5.06
572060	1950-12-07 00:00:00	1950	1951	12	4.16	4.16	4.16
572060	1950-12-08 00:00:00	1950	1951	12	3.48	3.48	3.48
572060	1950-12-09 00:00:00	1950	1951	12	3.34	3.34	3.34
572060	1950-12-10 00:00:00	1950	1951	12	3.2	3.2	3.2
572060	1950-12-11 00:00:00	1950	1951	12	2.65	2.65	2.65
572060	1950-12-12 00:00:00	1950	1951	12	2.65	2.65	2.65
572060	1950-12-13 00:00:00	1950	1951	12	2.65	2.65	2.65
572060	1950-12-14 00:00:00	1950	1951	12	2.38	2.38	2.38
572060	1950-12-15 00:00:00	1950	1951	12	2.24	2.24	2.24
572060	1950-12-16 00:00:00	1950	1951	12	1.84	1.84	1.84
572060	1950-12-17 00:00:00	1950	1951	12	1.59	1.59	1.59
572060	1950-12-18 00:00:00	1950	1951	12	1.46	1.46	1.46
572060	1950-12-19 00:00:00	1950	1951	12	1.19	1.19	1.19
572060	1950-12-20 00:00:00	1950	1951	12	1.1	1.1	1.1
572060	1950-12-21 00:00:00	1950	1951	12	1.01	1.01	1.01
572060	1950-12-22 00:00:00	1950	1951	12	0.94	0.94	0.94
572060	1950-12-23 00:00:00	1950	1951	12	0.88	0.88	0.88
572060	1950-12-24 00:00:00	1950	1951	12	0.88	0.88	0.88
572060	1950-12-25 00:00:00	1950	1951	12	0.81	0.81	0.81
572060	1950-12-26 00:00:00	1950	1951	12	0.81	0.81	0.81
572060	1950-12-27 00:00:00	1950	1951	12	0.75	0.75	0.75
572060	1950-12-28 00:00:00	1950	1951	12	0.81	0.81	0.81
572060	1950-12-29 00:00:00	1950	1951	12	0.75	0.75	0.75
572060	1950-12-30 00:00:00	1950	1951	12	0.68	0.68	0.68
572060	1950-12-31 00:00:00	1950	1951	12	0.68	0.68	0.68
572060	1951-01-01 00:00:00	1951	1951	1	0.68	0.68	0.68
572060	1951-01-02 00:00:00	1951	1951	1	0.68	0.68	0.68
572060	1951-01-03 00:00:00	1951	1951	1	0.68	0.68	0.68
572060	1951-01-04 00:00:00	1951	1951	1	0.75	0.75	0.75
572060	1951-01-05 00:00:00	1951	1951	1	1.01	1.01	1.01
572060	1951-01-06 00:00:00	1951	1951	1	1.19	1.19	1.19
572060	1951-01-07 00:00:00	1951	1951	1	1.46	1.46	1.46
572060	1951-01-08 00:00:00	1951	1951	1	1.84	1.84	1.84
572060	1951-01-09 00:00:00	1951	1951	1	1.97	1.97	1.97
572060	1951-01-10 00:00:00	1951	1951	1	1.97	1.97	1.97
572060	1951-01-11 00:00:00	1951	1951	1	2.1	2.1	2.1
572060	1951-01-12 00:00:00	1951	1951	1	2.1	2.1	2.1
572060	1951-01-13 00:00:00	1951	1951	1	2.1	2.1	2.1
572060	1951-01-14 00:00:00	1951	1951	1	2.38	2.38	2.38
572060	1951-01-15 00:00:00	1951	1951	1	3.48	3.48	3.48
572060	1951-01-16 00:00:00	1951	1951	1	3.62	3.62	3.62
572060	1951-01-17 00:00:00	1951	1951	1	3.75	3.75	3.75
572060	1951-01-18 00:00:00	1951	1951	1	4.02	4.02	4.02
572060	1951-01-19 00:00:00	1951	1951	1	4.34	4.34	4.34
572060	1951-01-20 00:00:00	1951	1951	1	5.06	5.06	5.06
572060	1951-01-21 00:00:00	1951	1951	1	3.89	3.89	3.89
572060	1951-01-22 00:00:00	1951	1951	1	3.75	3.75	3.75
572060	1951-01-23 00:00:00	1951	1951	1	3.48	3.48	3.48
572060	1951-01-24 00:00:00	1951	1951	1	3.07	3.07	3.07
572060	1951-01-25 00:00:00	1951	1951	1	2.79	2.79	2.79
572060	1951-01-26 00:00:00	1951	1951	1	2.79	2.79	2.79
572060	1951-01-27 00:00:00	1951	1951	1	2.79	2.79	2.79
572060	1951-01-28 00:00:00	1951	1951	1	2.65	2.65	2.65
572060	1951-01-29 00:00:00	1951	1951	1	2.65	2.65	2.65
572060	1951-01-30 00:00:00	1951	1951	1	2.51	2.51	2.51
572060	1951-01-31 00:00:00	1951	1951	1	2.1	2.1	2.1
572060	1951-02-01 00:00:00	1951	1951	2	2.1	2.1	2.1
572060	1951-02-02 00:00:00	1951	1951	2	2.1	2.1	2.1
572060	1951-02-03 00:00:00	1951	1951	2	2.1	2.1	2.1
572060	1951-02-04 00:00:00	1951	1951	2	1.97	1.97	1.97
572060	1951-02-05 00:00:00	1951	1951	2	1.72	1.72	1.72
572060	1951-02-06 00:00:00	1951	1951	2	1.72	1.72	1.72
572060	1951-02-07 00:00:00	1951	1951	2	1.72	1.72	1.72
572060	1951-02-08 00:00:00	1951	1951	2	1.59	1.59	1.59
572060	1951-02-09 00:00:00	1951	1951	2	1.72	1.72	1.72
572060	1951-02-10 00:00:00	1951	1951	2	1.97	1.97	1.97
572060	1951-02-11 00:00:00	1951	1951	2	1.84	1.84	1.84
572060	1951-02-12 00:00:00	1951	1951	2	1.84	1.84	1.84
572060	1951-02-13 00:00:00	1951	1951	2	1.84	1.84	1.84
572060	1951-02-14 00:00:00	1951	1951	2	1.84	1.84	1.84
572060	1951-02-15 00:00:00	1951	1951	2	1.84	1.84	1.84
572060	1951-02-16 00:00:00	1951	1951	2	1.72	1.72	1.72
572060	1951-02-17 00:00:00	1951	1951	2	1.72	1.72	1.72
572060	1951-02-18 00:00:00	1951	1951	2	3.34	3.34	3.34
572060	1951-02-19 00:00:00	1951	1951	2	3.34	3.34	3.34
572060	1951-02-20 00:00:00	1951	1951	2	3.62	3.62	3.62
572060	1951-02-21 00:00:00	1951	1951	2	4.16	4.16	4.16
572060	1951-02-22 00:00:00	1951	1951	2	4.02	4.02	4.02
572060	1951-02-23 00:00:00	1951	1951	2	3.89	3.89	3.89
572060	1951-02-24 00:00:00	1951	1951	2	3.62	3.62	3.62
572060	1951-02-25 00:00:00	1951	1951	2	3.48	3.48	3.48
572060	1951-02-26 00:00:00	1951	1951	2	3.34	3.34	3.34
572060	1951-02-27 00:00:00	1951	1951	2	3.07	3.07	3.07
