#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
429010	1939-11-01 00:00:00	1939	1940	11	7.4	7.4	7.4
429010	1939-11-02 00:00:00	1939	1940	11	6.46	6.46	6.46
429010	1939-11-03 00:00:00	1939	1940	11	5.92	5.92	5.92
429010	1939-11-04 00:00:00	1939	1940	11	5.92	5.92	5.92
429010	1939-11-05 00:00:00	1939	1940	11	7.6	7.6	7.6
429010	1939-11-06 00:00:00	1939	1940	11	8.22	8.22	8.22
429010	1939-11-07 00:00:00	1939	1940	11	7	7	7
429010	1939-11-08 00:00:00	1939	1940	11	6.46	6.46	6.46
429010	1939-11-09 00:00:00	1939	1940	11	6.1	6.1	6.1
429010	1939-11-10 00:00:00	1939	1940	11	5.92	5.92	5.92
429010	1939-11-11 00:00:00	1939	1940	11	5.38	5.38	5.38
429010	1939-11-12 00:00:00	1939	1940	11	5.02	5.02	5.02
429010	1939-11-13 00:00:00	1939	1940	11	4.66	4.66	4.66
429010	1939-11-14 00:00:00	1939	1940	11	4.3	4.3	4.3
429010	1939-11-15 00:00:00	1939	1940	11	3.94	3.94	3.94
429010	1939-11-16 00:00:00	1939	1940	11	4.66	4.66	4.66
429010	1939-11-17 00:00:00	1939	1940	11	10.3	10.3	10.3
429010	1939-11-18 00:00:00	1939	1940	11	8	8	8
429010	1939-11-19 00:00:00	1939	1940	11	12.9	12.9	12.9
429010	1939-11-20 00:00:00	1939	1940	11	16.6	16.6	16.6
429010	1939-11-21 00:00:00	1939	1940	11	12.6	12.6	12.6
429010	1939-11-22 00:00:00	1939	1940	11	10.1	10.1	10.1
429010	1939-11-23 00:00:00	1939	1940	11	8.44	8.44	8.44
429010	1939-11-24 00:00:00	1939	1940	11	7.2	7.2	7.2
429010	1939-11-25 00:00:00	1939	1940	11	6.64	6.64	6.64
429010	1939-11-26 00:00:00	1939	1940	11	7.8	7.8	7.8
429010	1939-11-27 00:00:00	1939	1940	11	21.6	21.6	21.6
429010	1939-11-28 00:00:00	1939	1940	11	28.6	28.6	39.1
429010	1939-11-29 00:00:00	1939	1940	11	19.7	19.7	19.7
429010	1939-11-30 00:00:00	1939	1940	11	23.5	23.5	23.5
429010	1939-12-01 00:00:00	1939	1940	12	26	26	29.4
429010	1939-12-02 00:00:00	1939	1940	12	19	19	19
429010	1939-12-03 00:00:00	1939	1940	12	15	15	15
429010	1939-12-04 00:00:00	1939	1940	12	12.6	12.6	12.6
429010	1939-12-05 00:00:00	1939	1940	12	12.1	12.1	12.1
429010	1939-12-06 00:00:00	1939	1940	12	9.82	9.82	9.82
429010	1939-12-07 00:00:00	1939	1940	12	8.47	8.47	8.47
429010	1939-12-08 00:00:00	1939	1940	12	7.2	7.2	7.2
429010	1939-12-09 00:00:00	1939	1940	12	6.82	6.82	6.82
429010	1939-12-10 00:00:00	1939	1940	12	7	7	7
429010	1939-12-11 00:00:00	1939	1940	12	6.64	6.64	6.64
429010	1939-12-12 00:00:00	1939	1940	12	5.92	5.92	5.92
429010	1939-12-13 00:00:00	1939	1940	12	5.38	5.38	5.38
429010	1939-12-14 00:00:00	1939	1940	12	5.02	5.02	5.02
429010	1939-12-15 00:00:00	1939	1940	12	4.66	4.66	4.66
429010	1939-12-16 00:00:00	1939	1940	12	4.22	4.22	4.22
429010	1939-12-17 00:00:00	1939	1940	12	3.76	3.76	3.76
429010	1939-12-18 00:00:00	1939	1940	12	3.94	3.94	3.94
429010	1939-12-19 00:00:00	1939	1940	12	3.58	3.58	3.58
429010	1939-12-20 00:00:00	1939	1940	12	3.4	3.4	3.4
429010	1939-12-21 00:00:00	1939	1940	12	3.26	3.26	3.26
429010	1939-12-22 00:00:00	1939	1940	12	2.84	2.84	2.84
429010	1939-12-23 00:00:00	1939	1940	12	2.84	2.84	2.84
429010	1939-12-24 00:00:00	1939	1940	12	2.7	2.7	2.7
429010	1939-12-25 00:00:00	1939	1940	12	2.84	2.84	2.84
429010	1939-12-26 00:00:00	1939	1940	12	2.7	2.7	2.7
429010	1939-12-27 00:00:00	1939	1940	12	2.42	2.42	2.42
429010	1939-12-28 00:00:00	1939	1940	12	2.7	2.7	2.7
429010	1939-12-29 00:00:00	1939	1940	12	5.02	5.02	5.02
429010	1939-12-30 00:00:00	1939	1940	12	10.3	10.3	10.3
429010	1939-12-31 00:00:00	1939	1940	12	10.3	10.3	10.3
429010	1940-01-01 00:00:00	1940	1940	1	10.3	10.3	10.3
429010	1940-01-02 00:00:00	1940	1940	1	10.3	10.3	10.3
429010	1940-01-03 00:00:00	1940	1940	1	8	8	8
429010	1940-01-04 00:00:00	1940	1940	1	8	8	8
429010	1940-01-05 00:00:00	1940	1940	1	8	8	8
429010	1940-01-06 00:00:00	1940	1940	1	8	8	8
429010	1940-01-07 00:00:00	1940	1940	1	8	8	8
429010	1940-01-08 00:00:00	1940	1940	1	8	8	8
429010	1940-01-09 00:00:00	1940	1940	1	8	8	8
429010	1940-01-10 00:00:00	1940	1940	1	8	8	8
429010	1940-01-11 00:00:00	1940	1940	1	8	8	8
429010	1940-01-12 00:00:00	1940	1940	1	8	8	8
429010	1940-01-13 00:00:00	1940	1940	1	8	8	8
429010	1940-01-14 00:00:00	1940	1940	1	8	8	8
429010	1940-01-15 00:00:00	1940	1940	1	8	8	8
429010	1940-01-16 00:00:00	1940	1940	1	8	8	8
429010	1940-01-17 00:00:00	1940	1940	1	8	8	8
429010	1940-01-18 00:00:00	1940	1940	1	8	8	8
429010	1940-01-19 00:00:00	1940	1940	1	8	8	8
429010	1940-01-20 00:00:00	1940	1940	1	8	8	8
429010	1940-01-21 00:00:00	1940	1940	1	8	8	8
429010	1940-01-22 00:00:00	1940	1940	1	8	8	8
429010	1940-01-23 00:00:00	1940	1940	1	8	8	8
429010	1940-01-24 00:00:00	1940	1940	1	8	8	8
429010	1940-01-25 00:00:00	1940	1940	1	8	8	8
429010	1940-01-26 00:00:00	1940	1940	1	8	8	8
429010	1940-01-27 00:00:00	1940	1940	1	8	8	8
429010	1940-01-28 00:00:00	1940	1940	1	8	8	8
429010	1940-01-29 00:00:00	1940	1940	1	8	8	8
429010	1940-01-30 00:00:00	1940	1940	1	8	8	8
429010	1940-01-31 00:00:00	1940	1940	1	8	8	8
429010	1940-02-01 00:00:00	1940	1940	2	8	8	8
429010	1940-02-02 00:00:00	1940	1940	2	8	8	8
429010	1940-02-03 00:00:00	1940	1940	2	8	8	8
429010	1940-02-04 00:00:00	1940	1940	2	8	8	8
429010	1940-02-05 00:00:00	1940	1940	2	8	8	8
429010	1940-02-06 00:00:00	1940	1940	2	8	8	8
429010	1940-02-07 00:00:00	1940	1940	2	5.92	5.92	5.92
429010	1940-02-08 00:00:00	1940	1940	2	9.1	9.1	9.1
429010	1940-02-09 00:00:00	1940	1940	2	8.66	8.66	8.66
429010	1940-02-10 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-11 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-12 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-13 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-14 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-15 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-16 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-17 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-18 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-19 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-20 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-21 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-22 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-23 00:00:00	1940	1940	2	5.2	5.2	5.2
429010	1940-02-24 00:00:00	1940	1940	2	20	20	20
429010	1940-02-25 00:00:00	1940	1940	2	20	20	34.7
429010	1940-02-26 00:00:00	1940	1940	2	4.22	4.22	4.22
429010	1940-02-27 00:00:00	1940	1940	2	3.76	3.76	3.76
429010	1940-02-28 00:00:00	1940	1940	2	8.44	8.44	8.44
