#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
429450	1987-11-01 00:00:00	1987	1988	11	24	24	24
429450	1987-11-02 00:00:00	1987	1988	11	25	25	25
429450	1987-11-03 00:00:00	1987	1988	11	26	26	26
429450	1987-11-04 00:00:00	1987	1988	11	26	26	26
429450	1987-11-05 00:00:00	1987	1988	11	25	25	25
429450	1987-11-06 00:00:00	1987	1988	11	25	25	25
429450	1987-11-07 00:00:00	1987	1988	11	25	25	25
429450	1987-11-08 00:00:00	1987	1988	11	25	25	25
429450	1987-11-09 00:00:00	1987	1988	11	25	25	25
429450	1987-11-10 00:00:00	1987	1988	11	25	25	25
429450	1987-11-11 00:00:00	1987	1988	11	25	25	25
429450	1987-11-12 00:00:00	1987	1988	11	27	27	27
429450	1987-11-13 00:00:00	1987	1988	11	30	30	30
429450	1987-11-14 00:00:00	1987	1988	11	31	31	31
429450	1987-11-15 00:00:00	1987	1988	11	28	28	28
429450	1987-11-16 00:00:00	1987	1988	11	29	29	29
429450	1987-11-17 00:00:00	1987	1988	11	33	33	33
429450	1987-11-18 00:00:00	1987	1988	11	30	30	30
429450	1987-11-19 00:00:00	1987	1988	11	31	31	31
429450	1987-11-20 00:00:00	1987	1988	11	42	42	42
429450	1987-11-21 00:00:00	1987	1988	11	41	41	41
429450	1987-11-22 00:00:00	1987	1988	11	44	44	45
429450	1987-11-23 00:00:00	1987	1988	11	43	43	43
429450	1987-11-24 00:00:00	1987	1988	11	39	39	39
429450	1987-11-25 00:00:00	1987	1988	11	39	39	39
429450	1987-11-26 00:00:00	1987	1988	11	40	40	40
429450	1987-11-27 00:00:00	1987	1988	11	38	38	38
429450	1987-11-28 00:00:00	1987	1988	11	36	36	36
429450	1987-11-29 00:00:00	1987	1988	11	33	33	33
429450	1987-11-30 00:00:00	1987	1988	11	31	31	31
429450	1987-12-01 00:00:00	1987	1988	12	29	29	29
429450	1987-12-02 00:00:00	1987	1988	12	28	28	28
429450	1987-12-03 00:00:00	1987	1988	12	27	27	27
429450	1987-12-04 00:00:00	1987	1988	12	27	27	27
429450	1987-12-05 00:00:00	1987	1988	12	26	26	26
429450	1987-12-06 00:00:00	1987	1988	12	26	26	26
429450	1987-12-07 00:00:00	1987	1988	12	26	26	26
429450	1987-12-08 00:00:00	1987	1988	12	28	28	28
429450	1987-12-09 00:00:00	1987	1988	12	37	37	37
429450	1987-12-10 00:00:00	1987	1988	12	46	46	46
429450	1987-12-11 00:00:00	1987	1988	12	31	31	31
429450	1987-12-12 00:00:00	1987	1988	12	26	26	26
429450	1987-12-13 00:00:00	1987	1988	12	26	26	26
429450	1987-12-14 00:00:00	1987	1988	12	26	26	26
429450	1987-12-15 00:00:00	1987	1988	12	26	26	26
429450	1987-12-16 00:00:00	1987	1988	12	26	26	26
429450	1987-12-17 00:00:00	1987	1988	12	34	34	34
429450	1987-12-18 00:00:00	1987	1988	12	49	49	49
429450	1987-12-19 00:00:00	1987	1988	12	57	57	58
429450	1987-12-20 00:00:00	1987	1988	12	51	51	51
429450	1987-12-21 00:00:00	1987	1988	12	48	48	48
429450	1987-12-22 00:00:00	1987	1988	12	43	43	43
429450	1987-12-23 00:00:00	1987	1988	12	39	39	39
429450	1987-12-24 00:00:00	1987	1988	12	37	37	37
429450	1987-12-25 00:00:00	1987	1988	12	36	36	36
429450	1987-12-26 00:00:00	1987	1988	12	35	35	35
429450	1987-12-27 00:00:00	1987	1988	12	34	34	34
429450	1987-12-28 00:00:00	1987	1988	12	32	32	32
429450	1987-12-29 00:00:00	1987	1988	12	30	30	30
429450	1987-12-30 00:00:00	1987	1988	12	30	30	30
429450	1987-12-31 00:00:00	1987	1988	12	30	30	30
429450	1988-01-01 00:00:00	1988	1988	1	30	30	30
429450	1988-01-02 00:00:00	1988	1988	1	35	35	35
429450	1988-01-03 00:00:00	1988	1988	1	36	36	36
429450	1988-01-04 00:00:00	1988	1988	1	36	36	36
429450	1988-01-05 00:00:00	1988	1988	1	42	42	42
429450	1988-01-06 00:00:00	1988	1988	1	38	38	38
429450	1988-01-07 00:00:00	1988	1988	1	35	35	35
429450	1988-01-08 00:00:00	1988	1988	1	35	35	35
429450	1988-01-09 00:00:00	1988	1988	1	44	44	48
429450	1988-01-10 00:00:00	1988	1988	1	43	43	43
429450	1988-01-11 00:00:00	1988	1988	1	40	40	40
429450	1988-01-12 00:00:00	1988	1988	1	34	34	34
429450	1988-01-13 00:00:00	1988	1988	1	31	31	31
429450	1988-01-14 00:00:00	1988	1988	1	29	29	29
429450	1988-01-15 00:00:00	1988	1988	1	29	29	29
429450	1988-01-16 00:00:00	1988	1988	1	29	29	29
429450	1988-01-17 00:00:00	1988	1988	1	28	28	28
429450	1988-01-18 00:00:00	1988	1988	1	27	27	27
429450	1988-01-19 00:00:00	1988	1988	1	26	26	26
429450	1988-01-20 00:00:00	1988	1988	1	25	25	25
429450	1988-01-21 00:00:00	1988	1988	1	24	24	24
429450	1988-01-22 00:00:00	1988	1988	1	25	25	25
429450	1988-01-23 00:00:00	1988	1988	1	26	26	26
429450	1988-01-24 00:00:00	1988	1988	1	27	27	27
429450	1988-01-25 00:00:00	1988	1988	1	39	39	39
429450	1988-01-26 00:00:00	1988	1988	1	43	43	43
429450	1988-01-27 00:00:00	1988	1988	1	42	42	42
429450	1988-01-28 00:00:00	1988	1988	1	40	40	40
429450	1988-01-29 00:00:00	1988	1988	1	37	37	37
429450	1988-01-30 00:00:00	1988	1988	1	35	35	35
429450	1988-01-31 00:00:00	1988	1988	1	33	33	33
429450	1988-02-01 00:00:00	1988	1988	2	34	34	34
429450	1988-02-02 00:00:00	1988	1988	2	46	46	46
429450	1988-02-03 00:00:00	1988	1988	2	49	49	54
429450	1988-02-04 00:00:00	1988	1988	2	44	44	44
429450	1988-02-05 00:00:00	1988	1988	2	40	40	40
429450	1988-02-06 00:00:00	1988	1988	2	40	40	40
429450	1988-02-07 00:00:00	1988	1988	2	40	40	40
429450	1988-02-08 00:00:00	1988	1988	2	37	37	37
429450	1988-02-09 00:00:00	1988	1988	2	38	38	38
429450	1988-02-10 00:00:00	1988	1988	2	36	36	36
429450	1988-02-11 00:00:00	1988	1988	2	34	34	34
429450	1988-02-12 00:00:00	1988	1988	2	32	32	32
429450	1988-02-13 00:00:00	1988	1988	2	30	30	30
429450	1988-02-14 00:00:00	1988	1988	2	30	30	30
429450	1988-02-15 00:00:00	1988	1988	2	30	30	30
429450	1988-02-16 00:00:00	1988	1988	2	30	30	30
429450	1988-02-17 00:00:00	1988	1988	2	30	30	30
429450	1988-02-18 00:00:00	1988	1988	2	31	31	31
429450	1988-02-19 00:00:00	1988	1988	2	35	35	35
429450	1988-02-20 00:00:00	1988	1988	2	34	34	34
429450	1988-02-21 00:00:00	1988	1988	2	32	32	32
429450	1988-02-22 00:00:00	1988	1988	2	31	31	31
429450	1988-02-23 00:00:00	1988	1988	2	32	32	32
429450	1988-02-24 00:00:00	1988	1988	2	31	31	31
429450	1988-02-25 00:00:00	1988	1988	2	30	30	30
429450	1988-02-26 00:00:00	1988	1988	2	29	29	29
429450	1988-02-27 00:00:00	1988	1988	2	29	29	29
429450	1988-02-28 00:00:00	1988	1988	2	29	29	29
429450	1988-02-29 00:00:00	1988	1988	2	29	29	29
429450	1988-03-01 00:00:00	1988	1988	3	28	28	28
429450	1988-03-02 00:00:00	1988	1988	3	27	27	27
429450	1988-03-03 00:00:00	1988	1988	3	27	27	27
429450	1988-03-04 00:00:00	1988	1988	3	26	26	26
429450	1988-03-05 00:00:00	1988	1988	3	25	25	25
429450	1988-03-06 00:00:00	1988	1988	3	25	25	25
429450	1988-03-07 00:00:00	1988	1988	3	26	26	26
429450	1988-03-08 00:00:00	1988	1988	3	27	27	27
429450	1988-03-09 00:00:00	1988	1988	3	28	28	28
429450	1988-03-10 00:00:00	1988	1988	3	28	28	28
429450	1988-03-11 00:00:00	1988	1988	3	28	28	28
429450	1988-03-12 00:00:00	1988	1988	3	36	36	36
429450	1988-03-13 00:00:00	1988	1988	3	35	35	35
429450	1988-03-14 00:00:00	1988	1988	3	33	33	33
429450	1988-03-15 00:00:00	1988	1988	3	35	35	35
429450	1988-03-16 00:00:00	1988	1988	3	55	55	55
429450	1988-03-17 00:00:00	1988	1988	3	53	53	53
429450	1988-03-18 00:00:00	1988	1988	3	42	42	42
429450	1988-03-19 00:00:00	1988	1988	3	36	36	36
429450	1988-03-20 00:00:00	1988	1988	3	37	37	37
429450	1988-03-21 00:00:00	1988	1988	3	51	51	51
429450	1988-03-22 00:00:00	1988	1988	3	68	68	68
429450	1988-03-23 00:00:00	1988	1988	3	66	66	66
429450	1988-03-24 00:00:00	1988	1988	3	66	66	66
429450	1988-03-25 00:00:00	1988	1988	3	69	69	73
429450	1988-03-26 00:00:00	1988	1988	3	67	67	67
429450	1988-03-27 00:00:00	1988	1988	3	64	64	64
429450	1988-03-28 00:00:00	1988	1988	3	59	59	59
429450	1988-03-29 00:00:00	1988	1988	3	53	53	53
429450	1988-03-30 00:00:00	1988	1988	3	53	53	53
429450	1988-03-31 00:00:00	1988	1988	3	55	55	55
429450	1988-04-01 00:00:00	1988	1988	4	75	75	82
429450	1988-04-02 00:00:00	1988	1988	4	66	66	66
429450	1988-04-03 00:00:00	1988	1988	4	56	56	56
429450	1988-04-04 00:00:00	1988	1988	4	51	51	51
429450	1988-04-05 00:00:00	1988	1988	4	48	48	48
429450	1988-04-06 00:00:00	1988	1988	4	48	48	48
429450	1988-04-07 00:00:00	1988	1988	4	48	48	48
429450	1988-04-08 00:00:00	1988	1988	4	48	48	48
429450	1988-04-09 00:00:00	1988	1988	4	47	47	47
429450	1988-04-10 00:00:00	1988	1988	4	42	42	42
429450	1988-04-11 00:00:00	1988	1988	4	42	42	42
429450	1988-04-12 00:00:00	1988	1988	4	42	42	42
429450	1988-04-13 00:00:00	1988	1988	4	41	41	41
429450	1988-04-14 00:00:00	1988	1988	4	41	41	41
429450	1988-04-15 00:00:00	1988	1988	4	40	40	40
429450	1988-04-16 00:00:00	1988	1988	4	39	39	39
429450	1988-04-17 00:00:00	1988	1988	4	38	38	38
429450	1988-04-18 00:00:00	1988	1988	4	40	40	40
429450	1988-04-19 00:00:00	1988	1988	4	41	41	41
429450	1988-04-20 00:00:00	1988	1988	4	40	40	40
429450	1988-04-21 00:00:00	1988	1988	4	38	38	38
429450	1988-04-22 00:00:00	1988	1988	4	37	37	37
429450	1988-04-23 00:00:00	1988	1988	4	37	37	37
429450	1988-04-24 00:00:00	1988	1988	4	36	36	36
429450	1988-04-25 00:00:00	1988	1988	4	35	35	35
429450	1988-04-26 00:00:00	1988	1988	4	33	33	33
429450	1988-04-27 00:00:00	1988	1988	4	32	32	32
429450	1988-04-28 00:00:00	1988	1988	4	32	32	32
429450	1988-04-29 00:00:00	1988	1988	4	32	32	32
429450	1988-04-30 00:00:00	1988	1988	4	32	32	32
429450	1988-05-01 00:00:00	1988	1988	5	31	31	31
429450	1988-05-02 00:00:00	1988	1988	5	31	31	32
429450	1988-05-03 00:00:00	1988	1988	5	32	32	32
429450	1988-05-04 00:00:00	1988	1988	5	31	31	31
429450	1988-05-05 00:00:00	1988	1988	5	31	31	31
429450	1988-05-06 00:00:00	1988	1988	5	31	31	31
429450	1988-05-07 00:00:00	1988	1988	5	30	30	30
429450	1988-05-08 00:00:00	1988	1988	5	29	29	29
429450	1988-05-09 00:00:00	1988	1988	5	28	28	28
429450	1988-05-10 00:00:00	1988	1988	5	28	28	28
429450	1988-05-11 00:00:00	1988	1988	5	28	28	28
429450	1988-05-12 00:00:00	1988	1988	5	28	28	28
429450	1988-05-13 00:00:00	1988	1988	5	28	28	28
429450	1988-05-14 00:00:00	1988	1988	5	28	28	28
429450	1988-05-15 00:00:00	1988	1988	5	28	28	28
429450	1988-05-16 00:00:00	1988	1988	5	27	27	27
429450	1988-05-17 00:00:00	1988	1988	5	27	27	27
429450	1988-05-18 00:00:00	1988	1988	5	27	27	27
429450	1988-05-19 00:00:00	1988	1988	5	27	27	27
429450	1988-05-20 00:00:00	1988	1988	5	27	27	27
429450	1988-05-21 00:00:00	1988	1988	5	27	27	27
429450	1988-05-22 00:00:00	1988	1988	5	27	27	27
429450	1988-05-23 00:00:00	1988	1988	5	27	27	27
429450	1988-05-24 00:00:00	1988	1988	5	26	26	26
429450	1988-05-25 00:00:00	1988	1988	5	25	25	25
429450	1988-05-26 00:00:00	1988	1988	5	25	25	25
429450	1988-05-27 00:00:00	1988	1988	5	26	26	26
429450	1988-05-28 00:00:00	1988	1988	5	28	28	28
429450	1988-05-29 00:00:00	1988	1988	5	28	28	28
429450	1988-05-30 00:00:00	1988	1988	5	27	27	27
429450	1988-05-31 00:00:00	1988	1988	5	26	26	26
429450	1988-06-01 00:00:00	1988	1988	6	26	26	26
429450	1988-06-02 00:00:00	1988	1988	6	27	27	27
429450	1988-06-03 00:00:00	1988	1988	6	26	26	26
429450	1988-06-04 00:00:00	1988	1988	6	26	26	26
429450	1988-06-05 00:00:00	1988	1988	6	26	26	26
429450	1988-06-06 00:00:00	1988	1988	6	30	30	35
429450	1988-06-07 00:00:00	1988	1988	6	32	32	32
429450	1988-06-08 00:00:00	1988	1988	6	29	29	29
429450	1988-06-09 00:00:00	1988	1988	6	29	29	29
